SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #36,0.003,Heat,No Action,no event,0,0,275.6161,354.3107
Subject #36,0.105,Heat,No Action,no event,0,0,275.6004,354.33
Subject #36,0.214,Heat,No Action,no event,0,0,275.5986,354.3188
Subject #36,0.328,Heat,No Action,no event,0,0,275.5843,354.3321
Subject #36,0.430,Heat,No Action,no event,0,0,275.5973,354.3427
Subject #36,0.635,Heat,No Action,no event,0,0,275.5952,354.3327
Subject #36,0.751,Heat,No Action,no event,0,0,275.583,354.3439
Subject #36,0.863,Heat,No Action,no event,0,0,275.5959,354.3384
Subject #36,0.970,Heat,No Action,no event,0,0,275.5848,354.3344
Subject #36,1.078,Heat,No Action,no event,0,0,275.5876,354.3354
Subject #36,1.189,Heat,No Action,no event,0,0,275.5855,354.3589
Subject #36,1.310,Heat,No Action,no event,0,0,275.5877,354.3361
Subject #36,1.421,Heat,No Action,no event,0,0,275.5927,354.336
Subject #36,1.522,Heat,No Action,no event,0,0,275.5938,354.3469
Subject #36,1.627,Heat,No Action,no event,0,0,275.5905,354.3412
Subject #36,1.738,Heat,No Action,no event,0,0,275.5846,354.3464
Subject #36,1.857,Heat,No Action,no event,0,0,275.5858,354.338
Subject #36,1.958,Heat,No Action,no event,0,0,275.5837,354.3576
Subject #36,2.065,Heat,No Action,no event,0,0,275.5922,354.358
Subject #36,2.186,Heat,No Action,no event,0,0,275.6,354.3491
Subject #36,2.294,Heat,No Action,no event,0,0,275.595,354.3402
Subject #36,2.405,Heat,No Action,no event,0,0,275.6061,354.3386
Subject #36,2.511,Heat,No Action,no event,0,0,275.5967,354.3268
Subject #36,2.617,Heat,No Action,no event,0,0,275.6027,354.332
Subject #36,2.730,Heat,No Action,no event,0,0,275.6112,354.3304
Subject #36,2.843,Heat,No Action,no event,0,0,275.6003,354.3189
Subject #36,2.964,Heat,No Action,no event,0,0,275.5972,354.3044
Subject #36,3.076,Heat,No Action,no event,0,0,275.5928,354.3094
Subject #36,3.185,Heat,No Action,no event,0,0,275.5862,354.2905
Subject #36,3.294,Heat,No Action,no event,0,0,275.5815,354.2926
Subject #36,3.400,Heat,No Action,no event,0,0,275.5804,354.2823
Subject #36,3.513,Heat,No Action,no event,0,0,275.5956,354.2771
Subject #36,3.627,Heat,POV,Action Started,0,0,275.598,354.2631
Subject #36,3.747,Heat,POV,no event,0,0,275.6059,354.2484
Subject #36,3.859,Heat,POV,no event,0,0,275.628,354.2295
Subject #36,3.969,Heat,POV,no event,0,0,275.6276,354.2072
Subject #36,4.082,Heat,POV,no event,0,0,275.6326,354.2117
Subject #36,4.194,Heat,POV,no event,0,0,275.6373,354.2185
Subject #36,4.300,Heat,POV,no event,0,0,275.6338,354.1935
Subject #36,4.413,Heat,POV,no event,0,0,275.6414,354.1759
Subject #36,4.519,Heat,POV,no event,2.149345,358.5819,277.6689,355.8989
Subject #36,4.625,Heat,POV,no event,2.036568,358.6176,277.5646,356.1163
Subject #36,4.742,Heat,POV,no event,0.2094841,356.8152,275.5678,354.944
Subject #36,4.853,Heat,POV,no event,0.2094841,356.8152,275.5579,354.9665
Subject #36,4.967,Heat,POV,no event,0.2094841,356.8152,275.5695,354.96
Subject #36,5.083,Heat,POV,no event,0.2094841,356.8152,275.5529,354.9587
Subject #36,5.188,Heat,POV,no event,0.2094841,356.8152,275.5656,354.9639
Subject #36,5.300,Heat,POV,no event,0.2094841,356.8152,275.5574,354.9757
Subject #36,5.414,Heat,POV,no event,0.2094841,356.8152,275.5648,354.9757
Subject #36,5.516,Heat,POV,no event,0.2094841,356.8152,275.5544,354.9744
Subject #36,5.635,Heat,POV,no event,0.2094841,356.8152,275.5614,354.9523
Subject #36,5.747,Heat,POV,no event,0.2094841,356.8152,275.5773,354.9538
Subject #36,5.884,Heat,POV,no event,0.2094841,356.8152,275.5795,354.9492
Subject #36,6.005,Heat,POV,no event,0.2094841,356.8152,275.5838,354.9142
Subject #36,6.114,Heat,POV,no event,0.2094841,356.8152,275.6017,354.9237
Subject #36,6.220,Heat,POV,no event,0.2094841,356.8152,275.5867,354.9351
Subject #36,6.334,Heat,POV,no event,0.2094841,356.8152,275.5894,354.9269
Subject #36,6.451,Heat,POV,no event,0.2094841,356.8152,275.5792,354.887
Subject #36,6.553,Heat,POV,no event,0.2094841,356.8152,275.5833,354.9614
Subject #36,6.668,Heat,POV,no event,0.2094841,356.8152,275.5829,354.8997
Subject #36,6.785,Heat,POV,no event,0.2094841,356.8152,275.5892,354.8864
Subject #36,6.898,Heat,POV,no event,0.2094841,356.8152,275.5827,354.941
Subject #36,7.012,Heat,POV,no event,0.2094841,356.8152,275.5877,354.9211
Subject #36,7.127,Heat,POV,no event,0.2094841,356.8152,275.5811,354.9048
Subject #36,7.255,Heat,POV,no event,0.2094841,356.8152,275.5648,354.9174
Subject #36,7.366,Heat,POV,no event,0.2094841,356.8152,275.5668,354.9029
Subject #36,9.337,Heat,POV,no event,0.2094841,356.8152,275.5656,354.9144
Subject #36,9.455,Heat,POV,no event,0.2094841,356.8152,275.5797,354.8191
Subject #36,9.567,Heat,POV,no event,0.2094841,356.8152,275.5853,354.8033
Subject #36,9.675,Heat,POV,no event,0.2094841,356.8152,275.5848,354.7805
Subject #36,9.792,Heat,POV,no event,0.2094841,356.8152,275.5739,354.8115
Subject #36,9.895,Heat,POV,no event,0.2094841,356.8152,275.563,354.8145
Subject #36,10.009,Heat,POV,no event,0.2094841,356.8152,275.5759,354.8187
Subject #36,10.114,Heat,POV,no event,0.2094841,356.8152,275.5583,354.8306
Subject #36,10.236,Heat,POV,no event,0.2094841,356.8152,275.569,354.8507
Subject #36,10.341,Heat,POV,no event,0.2094841,356.8152,275.5761,354.8302
Subject #36,10.453,Heat,POV,no event,0.2094841,356.8152,275.5803,354.8203
Subject #36,10.569,Heat,POV,no event,0.2094841,356.8152,275.5898,354.8318
Subject #36,10.670,Heat,POV,no event,0.2094841,356.8152,275.5882,354.8349
Subject #36,10.784,Heat,POV,no event,0.2094841,356.8152,275.5891,354.8322
Subject #36,10.899,Heat,POV,no event,0.2094841,356.8152,275.5734,354.8433
Subject #36,11.019,Heat,POV,no event,0.2094841,356.8152,275.5749,354.8695
Subject #36,11.132,Heat,POV,no event,0.2094841,356.8152,275.5748,354.8807
Subject #36,11.242,Heat,POV,no event,0.2094841,356.8152,275.5677,354.8658
