SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,SecondaryTask,SecondaryTaskInfo,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #144,0.003,Heat,None,,None,,,9.72998,0,53.18974,4.999565
Subject #144,0.111,Audio,None,,None,,,9.72998,0,52.93086,5.227715
Subject #144,0.213,Audio,None,,None,,,9.72998,0,48.52577,5.032499
Subject #144,0.323,Audio,None,,None,,,9.72998,0,41.91722,6.102932
Subject #144,0.424,Audio,None,,None,,,9.72998,0,36.37272,2.840178
Subject #144,0.524,Audio,None,,None,,,9.72998,0,28.6511,358.1915
Subject #144,0.625,Audio,None,,None,,,9.72998,0,20.98212,356.5999
Subject #144,0.725,Audio,None,,None,,,9.72998,0,18.47484,355.6436
Subject #144,0.826,Audio,None,,None,,,9.72998,0,22.49312,356.2492
Subject #144,0.926,Audio,None,,None,,,9.72998,0,25.03204,355.539
Subject #144,1.027,Audio,None,,None,,,9.72998,0,26.09582,355.7562
Subject #144,1.128,Audio,None,,None,,,9.72998,0,25.42985,355.7515
Subject #144,1.228,Audio,None,,None,,,9.72998,0,23.96284,355.5601
Subject #144,1.329,Audio,None,,None,,,9.72998,0,23.81131,355.2315
Subject #144,1.430,Audio,None,,None,,,9.72998,0,23.84161,354.3091
Subject #144,1.530,Audio,None,,None,,,9.72998,0,23.90464,355.0032
Subject #144,1.630,Audio,None,,None,,,9.72998,0,23.92858,354.6083
Subject #144,1.731,Audio,None,,None,,,9.72998,0,23.69983,354.4543
Subject #144,1.831,Audio,None,,None,,,9.72998,0,23.78459,354.6349
Subject #144,1.932,Audio,None,,None,,,9.72998,0,23.77317,354.4052
Subject #144,2.032,Audio,None,,None,,,9.72998,0,23.7439,354.6569
Subject #144,2.133,Audio,None,,None,,,9.72998,0,23.80997,354.7358
Subject #144,2.233,Audio,None,,None,,,9.72998,0,23.88704,354.755
Subject #144,2.334,Audio,None,,None,,,9.72998,0,24.02845,354.7529
Subject #144,2.434,Audio,None,,None,,,9.72998,0,24.00739,354.9151
Subject #144,2.535,Audio,None,,None,,,9.72998,0,23.58596,354.8118
Subject #144,2.636,Audio,None,,None,,,9.72998,0,23.70289,354.8913
Subject #144,2.736,Audio,None,,None,,,9.72998,0,23.51485,354.8362
Subject #144,2.837,Audio,None,,None,,,9.72998,0,23.63675,354.7573
Subject #144,2.937,Audio,None,,None,,,9.72998,0,23.82318,354.6031
Subject #144,3.038,Audio,None,,None,,,9.72998,0,23.83618,354.581
Subject #144,3.138,Audio,None,,None,,,9.72998,0,24.02197,354.6501
Subject #144,3.252,Audio,None,,None,,,9.72998,0,24.14961,354.5854
Subject #144,3.361,Audio,None,,None,,,9.72998,0,24.21229,354.6061
Subject #144,3.462,Audio,Right,,Right,,,9.72998,0,24.38964,354.5396
Subject #144,3.563,Audio,Right,,Right,,,9.72998,0,24.35935,354.3026
Subject #144,3.663,Audio,Right,,Right,,,9.72998,0,24.33938,354.144
Subject #144,3.764,Audio,Right,,Right,,,9.72998,0,24.79168,354.1885
Subject #144,3.865,Audio,Right,,Right,,,9.72998,0,25.05581,354.4311
Subject #144,3.965,Audio,Right,,Right,,,9.72998,0,25.46118,354.6058
Subject #144,4.066,Audio,Right,,Right,,,9.72998,0,26.57017,354.6232
Subject #144,4.166,Audio,Right,,Right,,,9.72998,0,33.77197,353.7441
Subject #144,4.266,Audio,Right,,Right,,,9.72998,0,48.05537,353.4219
Subject #144,4.367,Audio,Right,,Right,,,9.72998,0,62.00197,352.8835
Subject #144,4.467,Audio,Right,,Right,,,9.72998,0,77.35976,350.2605
Subject #144,4.568,Audio,Right,,Right,,,9.72998,0,90.93779,348.7489
Subject #144,4.669,Audio,Right,,Right,,,9.72998,0,100.4933,349.4075
Subject #144,4.769,Audio,Right,,Right,,,9.72998,0,103.3672,349.7881
Subject #144,4.870,Audio,Right,,Right,,,9.72998,0,103.0702,349.7145
Subject #144,4.970,Audio,Right,,Right,,,9.72998,0,101.3404,349.8847
Subject #144,5.071,Audio,Right,,Right,,,9.72998,0,99.11693,349.5928
Subject #144,5.171,Audio,Right,,Right,,,9.72998,0,97.55472,348.8468
Subject #144,5.272,Audio,Right,,Right,,,9.72998,0,96.60009,348.9504
Subject #144,5.372,Audio,Right,,Right,,,9.72998,0,95.86806,349.3042
Subject #144,5.473,Audio,Right,,Right,,,9.72998,0,95.2487,349.4025
Subject #144,5.573,Audio,Right,,Right,,,9.72998,0,94.84711,349.2463
Subject #144,5.674,Audio,Right,,Right,,,9.72998,0,94.66879,348.9504
Subject #144,5.774,Audio,Right,,Right,,,9.72998,0,94.54481,348.9718
Subject #144,5.875,Audio,Right,,Right,,,9.72998,0,94.63304,348.7559
Subject #144,5.975,Audio,None,Success,None,Success,,9.72998,0,95.13834,348.7507
Subject #144,6.076,Audio,None,,None,,,9.72998,0,97.84458,350.1362
Subject #144,6.176,Audio,None,,None,,,9.72998,0,103.2101,352.699
Subject #144,6.277,Audio,None,,None,,,9.72998,0,104.4195,353.4112
Subject #144,6.377,Audio,None,,None,,,9.72998,0,103.7278,353.0528
Subject #144,6.479,Audio,None,,None,,,9.72998,0,99.35352,352.0678
Subject #144,6.579,Audio,None,,None,,,9.72998,0,88.74277,350.4777
Subject #144,6.679,Audio,None,,None,,,9.72998,0,75.13302,349.1171
Subject #144,6.779,Audio,None,,None,,,9.72998,0,59.80219,348.9959
Subject #144,6.880,Audio,None,,None,,,9.72998,0,42.27775,349.8511
Subject #144,6.981,Audio,None,,None,,,9.72998,0,30.29627,350.0503
Subject #144,7.081,Audio,None,,None,,,9.72998,0,21.61052,349.4189
Subject #144,7.182,Audio,None,,None,,,9.72998,0,15.16904,350.1892
Subject #144,7.282,Audio,None,,None,,,9.72998,0,12.22355,350.303
Subject #144,7.383,Audio,None,,None,,,9.72998,0,9.936733,349.2984
Subject #144,7.484,Audio,None,,None,,,9.72998,0,6.908017,351.5747
Subject #144,7.584,Audio,None,,None,,,9.72998,0,4.760009,355.955
Subject #144,7.685,Audio,None,,None,,,9.72998,0,3.255816,355.3915
Subject #144,7.785,Audio,None,,None,,,9.72998,0,2.543144,354.7535
Subject #144,7.885,Audio,None,,None,,,9.72998,0,2.267563,355.3677
Subject #144,7.986,Audio,None,,None,,,9.72998,0,1.23761,356.3698
Subject #144,8.086,Audio,None,,None,,,9.72998,0,359.7299,356.4651
Subject #144,8.187,Audio,None,,None,,,9.72998,0,0.6698221,355.6164
Subject #144,8.287,Audio,None,,None,,,9.72998,0,1.924756,355.5053
