SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;EventInfo;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #146;0.013;Heat;None;;None;;;0;0;0;0
Subject #146;0.126;Audio;Middle;;Middle;;;4.269.712;0;4.269.712;0
Subject #146;0.245;Audio;Middle;;Middle;;;182.714;0;182.714;0
Subject #146;0.347;Audio;Middle;;Middle;;;3.047.896;0;3.047.896;0
Subject #146;0.457;Audio;Middle;;Middle;;;4.371.762;0;4.371.762;0
Subject #146;0.575;Audio;Middle;;Middle;;;5.788.417;0;5.788.417;0
Subject #146;2.091;Audio;Middle;;Middle;;;6.225.727;0;6.225.727;0
Subject #146;2.191;Audio;Middle;;Middle;;;6.225.727;0;6.225.727;0
Subject #146;2.293;Audio;Middle;;Middle;;;6.225.727;0;6.225.727;0
Subject #146;2.407;Audio;Middle;;Middle;;;6.225.727;0;6.225.727;0
Subject #146;2.508;Audio;Middle;;Middle;;;6.459.214;0;6.459.214;0
Subject #146;2.625;Audio;Middle;;Middle;;;7.771.809;0;7.771.809;0
Subject #146;2.738;Audio;Middle;;Middle;;;9.139.014;0;9.139.014;0
Subject #146;2.854;Audio;Middle;;Middle;;;105.147;0;105.147;0
Subject #146;2.969;Audio;Middle;;Middle;;;1.189.847;0;1.189.847;0
Subject #146;3.071;Audio;Middle;;Middle;;;1.312.354;3.587.922;1.312.354;3.587.922
Subject #146;3.180;Audio;Middle;;Middle;;;140.294;3.486.102;140.294;3.486.102
Subject #146;3.291;Audio;Middle;;Middle;;;1.404.948;3.467.529;1.404.948;3.467.529
Subject #146;3.403;Audio;Middle;;Middle;;;1.404.948;3.467.529;1.404.948;3.467.529
Subject #146;3.513;Audio;Middle;;Middle;;;1.404.948;3.467.529;1.404.948;3.467.529
Subject #146;3.616;Audio;Middle;;Middle;;;1.404.948;3.467.529;1.404.948;3.467.529
Subject #146;3.728;Audio;Middle;;Middle;;;1.404.948;3.467.529;1.404.948;3.467.529
Subject #146;3.828;Audio;Middle;;Middle;;;1.404.948;3.467.529;1.404.948;3.467.529
Subject #146;3.948;Audio;Middle;;Middle;;;1.403.849;3.529.568;1.403.849;3.529.568
Subject #146;4.053;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;4.155;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;4.265;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;4.371;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;46.369;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;46.485;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;46.586;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;46.689;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;46.790;Audio;Middle;;Middle;;;1.403.847;3.529.666;1.403.847;3.529.666
Subject #146;46.902;Audio;Middle;;Middle;;;1.489.956;3.531.923;1.489.956;3.531.923
Subject #146;47.005;Audio;Middle;;Middle;;;1.614.314;3.537.854;1.614.314;3.537.854
Subject #146;47.106;Audio;Middle;;Middle;;;1.735.261;3.546.421;1.735.261;3.546.421
Subject #146;47.225;Audio;Middle;;Middle;;;1.877.424;355.952;1.877.424;355.952
Subject #146;47.337;Audio;Middle;;Middle;;;1.984.887;3.571.143;1.984.887;3.571.143
Subject #146;47.439;Audio;Middle;;Middle;;;1.991.443;3.571.891;1.991.443;3.571.891
Subject #146;47.542;Audio;Middle;;Middle;;;1.991.443;3.571.891;1.991.443;3.571.891
Subject #146;47.645;Audio;Middle;;Middle;;;1.991.443;3.571.891;1.991.443;3.571.891
Subject #146;47.753;Audio;Middle;;Middle;;;2.017.182;3.574.859;2.017.182;3.574.859
Subject #146;47.861;Audio;Middle;;Middle;;;2.139.298;3.589.545;2.139.298;3.589.545
Subject #146;47.962;Audio;Middle;;Middle;;;2.258.873;0.4402514;2.258.873;0.4402514
Subject #146;48.078;Audio;Middle;;Middle;;;2.397.978;2.139.342;2.397.978;2.139.342
Subject #146;48.195;Audio;Middle;;Middle;;;2.537.362;3.712.634;2.537.362;3.712.634
Subject #146;48.303;Audio;None;Timeout;None;Timeout;;2.666.224;4.970.859;2.666.224;4.970.859
Subject #146;48.416;Audio;None;;None;;;2.801.736;6.020.167;2.801.736;6.020.167
Subject #146;48.528;Audio;None;;None;;;293.803;6.736.929;293.803;6.736.929
Subject #146;48.646;Audio;None;;None;;;3.045.614;7.037.499;3.045.614;7.037.499
Subject #146;48.751;Audio;None;;None;;;3.049.606;7.043.971;3.049.606;7.043.971
Subject #146;48.865;Audio;None;;None;;;3.121.467;7.102.345;3.121.467;7.102.345
Subject #146;48.979;Audio;None;;None;;;3.259.554;6.905.086;3.259.554;6.905.086
Subject #146;49.080;Audio;None;;None;;;3.381.128;6.402.687;3.381.128;6.402.687
Subject #146;49.188;Audio;None;;None;;;351.104;5.549.981;351.104;5.549.981
Subject #146;49.299;Audio;None;;None;;;4.413.705;4.380.553;4.413.705;4.380.553
Subject #146;49.400;Audio;None;;None;;;1.683.192;6.218.277;1.683.192;6.218.277
Subject #146;49.512;Audio;None;;None;;;3.230.584;1.721.116;3.230.584;1.721.116
Subject #146;49.619;Audio;None;;None;;;4.902.639;2.685.419;4.902.639;2.685.419
Subject #146;49.735;Audio;None;;None;;;684.165;3.188.995;684.165;3.188.995
Subject #146;49.849;Audio;None;;None;;;8.217.022;2.545.565;8.217.022;2.545.565
Subject #146;49.968;Audio;None;;None;;;9.317.335;1.817.242;9.317.335;1.817.242
Subject #146;50.070;Audio;None;;None;;;9.419.094;1.742.636;9.419.094;1.742.636
Subject #146;50.180;Audio;None;;None;;;9.909.888;1.367.447;9.909.888;1.367.447
Subject #146;50.280;Audio;None;;None;;;1.084.679;5.940.288;1.084.679;5.940.288
Subject #146;50.400;Audio;None;;None;;;1.196.589;3.569.866;1.196.589;3.569.866
Subject #146;50.505;Audio;None;;None;;;135.752;3.562.241;135.752;3.562.241
Subject #146;50.622;Audio;None;;None;;;1.554.945;3.581.101;1.554.945;3.581.101
Subject #146;50.735;Audio;None;;None;;;1.724.186;1.793.088;1.724.186;1.793.088
Subject #146;50.843;Audio;None;;None;;;1.772.888;673.064;1.772.888;673.064
Subject #146;50.954;Audio;None;;None;;;1.785.957;5.653.762;1.785.957;5.653.762
Subject #146;51.054;Audio;None;;None;;;1.867.507;3.588.296;1.867.507;3.588.296
Subject #146;51.170;Audio;None;;None;;;1.975.322;3.499.463;1.975.322;3.499.463
Subject #146;51.278;Audio;None;;None;;;2.068.618;3.428.718;2.068.618;3.428.718
Subject #146;51.383;Audio;None;;None;;;2.081.593;3.419.538;2.081.593;3.419.538
Subject #146;51.486;Audio;None;;None;;;2.081.593;3.419.538;2.081.593;3.419.538
Subject #146;51.597;Audio;None;;None;;;2.068.196;3.429.019;2.068.196;3.429.019
Subject #146;51.710;Audio;None;;None;;;1.924.306;3.451.913;1.924.306;3.451.913
Subject #146;51.812;Audio;None;;None;;;1.745.338;3.446.256;1.745.338;3.446.256
Subject #146;51.927;Audio;None;;None;;;1.543.184;3.457.747;1.543.184;3.457.747
Subject #146;52.028;Audio;None;;None;;;1.368.696;3.482.271;1.368.696;3.482.271
Subject #146;52.129;Audio;None;;None;;;1.198.869;3.517.551;1.198.869;3.517.551
Subject #146;52.249;Audio;Left;;Left;;;1.078.679;3.547.877;1.078.679;3.547.877
Subject #146;52.359;Audio;Left;;Left;;;1.092.389;3.599.304;1.092.389;3.599.304
Subject #146;52.461;Audio;Left;;Left;;;1.136.375;1.616.486;1.136.375;1.616.486
Subject #146;52.567;Audio;Left;;Left;;;1.191.512;333.767;1.191.512;333.767
