SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #155;0,003;Heat;;;;;;;;0,5641757;0,001899719;3,262643;8,999991;0;296,1765;351,664
Subject #155;0,111;Audio;;;;;;;;0,6820356;0,001899719;4,006782;8,999991;0;296,1736;351,6633
Subject #155;0,212;Audio;;;;;;;;0,7984655;0,001899719;4,741892;8,999991;0;296,1726;351,6714
Subject #155;0,315;Audio;;;;;;;;0,9273729;0,001899719;5,555782;8,999991;0;296,1795;351,6663
Subject #155;0,424;Audio;;;;;;;;1,074304;0,001899719;6,483468;8,999991;0;296,1823;351,6584
Subject #155;0,525;Audio;;;;;;;;1,22006;0,001899719;7,403738;8,999991;0;296,1833;351,6711
Subject #155;0,625;Audio;;;;;;;;1,374777;0,001899719;8,380583;8,999991;0;296,1767;351,6765
Subject #155;0,726;Audio;;;;;;;;1,54076;0,001899719;9,428559;8,999991;0;296,1795;351,6828
Subject #155;0,837;Audio;;;;;;;;1,733161;0,001899719;10,64333;8,999991;0;296,176;351,6742
Subject #155;0,937;Audio;;;;;;;;1,91743;0,001899719;11,80676;8,999991;0;296,1706;351,6731
Subject #155;1,038;Audio;;;;;;;;2,106412;0,001899719;12,99995;8,999991;0;296,1663;351,6626
Subject #155;1,139;Audio;;;;;;;;2,295084;0,001899719;14,19118;8,999991;0;296,1599;351,6661
Subject #155;1,240;Audio;;;;;;;;2,484913;0,001899719;15,38972;8,999991;0;296,1745;351,6587
Subject #155;1,351;Audio;;;;;;;;2,693904;0,001899719;16,70923;8,999991;0;296,1776;351,6582
Subject #155;1,451;Audio;;;;;;;;2,882146;0,001899719;17,89775;8,999991;0;296,1654;351,6671
Subject #155;1,556;Audio;;;;;;;;3,071305;0,001899719;19,09205;8,999991;0;296,1599;351,6809
Subject #155;1,664;Audio;;;;;;;;3,280542;0,001899719;20,41313;8,999991;0;296,162;351,6683
Subject #155;1,764;Audio;;;;;;;;3,469103;0,001899719;21,60366;8,999991;0;296,1665;351,6798
Subject #155;1,867;Audio;;;;;;;;3,661848;0,001899719;22,8206;8,999991;0;296,1725;351,6656
Subject #155;1,976;Audio;;;;;;;;3,867438;0,001899719;24,11865;8,999991;0;296,1788;351,6682
Subject #155;2,077;Audio;;;;;;;;4,05625;0,001899719;25,31076;8,999991;0;296,1762;351,6633
Subject #155;2,177;Audio;;;;;;;;4,244934;0,001899719;26,50207;8,999991;0;296,1754;351,6559
Subject #155;2,278;Audio;;;;;;;;4,433687;0,001899719;27,69381;8,999991;0;296,1807;351,6577
Subject #155;2,379;Audio;;;;;;;;4,622943;0,001899719;28,88873;8,999991;0;296,1715;351,661
Subject #155;2,479;Audio;;;;;;;;4,811554;0,001899719;30,07957;8,999991;0;296,1753;351,6642
Subject #155;2,579;Audio;;;;;;;;4,999887;0,001899719;31,26866;8,999991;0;296,1639;351,6649
Subject #155;2,680;Audio;;;;;;;;5,188628;0,001899719;32,46033;8,999991;0;296,1697;351,6659
Subject #155;2,781;Audio;;;;;;;;5,377983;0,001899719;33,65588;8,999991;0;296,182;351,6709
Subject #155;2,881;Audio;;;;;;;;5,566004;0,001899719;34,843;8,999991;0;296,1738;351,6536
Subject #155;2,982;Audio;;;;;;;;5,755179;0,001899719;36,03739;8,999991;0;296,1806;351,6448
Subject #155;3,082;Audio;;;;;;;;5,94343;0,001899719;37,22596;8,999991;0;296,1736;351,6658
