SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,SecondaryTask,SecondaryTaskInfo,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #167,0.011,Heat,None,,None,,,0,0,0,0
Subject #167,0.115,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.219,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.327,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.429,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.530,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.633,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.739,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.840,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,0.943,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.050,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.154,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.257,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.363,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.467,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.570,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.671,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.775,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.878,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,1.978,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.084,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.190,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.297,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.398,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.506,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.613,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.715,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.818,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,2.924,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.026,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.131,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.233,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.333,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.434,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.534,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.642,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.749,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.854,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,3.957,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,4.059,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,4.165,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,4.267,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,4.368,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,4.475,Audio,Middle,,Middle,,,0,0,0,0
Subject #167,4.581,Audio,Middle,,Middle,,,0,0,0,0
