SubjectName,Timestamp,FeedbackType,MainTask,MainTaskInfo,MainTaskXPos,MainTaskZPos,SecondaryTask,SecondaryTaskInfo,EventInfo,PlayerXPos,PlayerZPos,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #250,0.012,Heat,None,,,,None,,,-0.04856361,-0.3000299,9.72998,0,9.72998,0
Subject #250,0.111,Audio,None,,,,None,,,-0.007262666,-0.05916838,9.72998,0,9.72998,0
Subject #250,0.305,Audio,None,,,,None,,,0.107535,0.6103158,9.72998,0,9.72998,0
Subject #250,0.406,Audio,None,,,,None,,,0.2085359,1.199339,9.72998,0,9.72998,0
Subject #250,0.519,Audio,None,,,,None,,,0.3379334,1.953968,9.72998,0,9.72998,0
Subject #250,0.620,Audio,None,,,,None,,,0.4633037,2.685111,9.72998,0,9.72998,0
Subject #250,0.732,Audio,None,,,,None,,,0.6153722,3.571954,9.72998,0,9.72998,0
Subject #250,0.847,Audio,None,,,,None,,,0.7815193,4.540901,9.72998,0,9.72998,0
Subject #250,0.956,Audio,None,,,,None,,,0.9604431,5.584361,9.72998,0,9.72998,0
Subject #250,1.057,Audio,None,,,,None,,,1.149744,6.68834,9.72998,0,9.72998,0
Subject #250,1.180,Audio,None,,,,None,,,1.407308,8.190416,9.72998,0,9.72998,0
Subject #250,1.282,Audio,None,,,,None,,,1.61429,9.397509,9.72998,0,9.72998,0
Subject #250,1.390,Audio,None,,,,None,,,1.832994,10.67296,9.72998,0,9.72998,0
Subject #250,1.502,Audio,None,,,,None,,,2.059392,11.99328,9.72998,0,9.72998,0
Subject #250,1.625,Audio,None,,,,None,,,2.309841,13.45387,9.72998,0,9.72998,0
Subject #250,1.734,Audio,None,,,,None,,,2.527987,14.72607,9.72998,0,9.72998,0
Subject #250,1.848,Audio,None,,,,None,,,2.762366,16.09293,9.72998,0,9.72998,0
Subject #250,1.954,Audio,None,,,,None,,,2.976191,17.33993,9.72998,0,9.72998,0
Subject #250,2.069,Audio,None,,,,None,,,3.208274,18.6934,9.72998,0,9.72998,0
Subject #250,2.183,Audio,None,,,,None,,,3.440558,20.04805,9.72998,0,9.72998,0
Subject #250,2.287,Audio,None,,,,None,,,3.652616,21.28475,9.72998,0,9.72998,0
Subject #250,2.404,Audio,None,,,,None,,,3.888668,22.66137,9.72998,0,9.72998,0
Subject #250,2.513,Audio,None,,,,None,,,4.109336,23.94827,9.72998,0,9.72998,0
Subject #250,2.641,Audio,None,,,,None,,,4.369301,25.46436,9.72998,0,9.72998,0
Subject #250,2.748,Audio,None,,,,None,,,4.58625,26.72957,9.72998,0,9.72998,0
Subject #250,2.861,Audio,None,,,,None,,,4.816205,28.07064,9.72998,0,9.72998,0
Subject #250,2.976,Audio,None,,,,None,,,5.04918,29.42932,9.72998,0,9.72998,0
Subject #250,3.091,Audio,None,,,,None,,,5.2838,30.79758,9.72998,0,9.72998,0
Subject #250,3.205,Audio,None,,,,None,,,5.51406,32.14043,9.72998,0,9.72998,0
Subject #250,3.316,Audio,None,,,,None,,,5.737856,33.44558,9.72998,0,9.72998,0
Subject #250,3.425,Audio,None,,,,None,,,5.959132,34.73603,9.72998,0,9.72998,0
Subject #250,3.537,Audio,None,,,,None,,,6.187636,36.06864,9.72998,0,9.72998,0
Subject #250,3.656,Audio,Right,Task Started,,,Right,Task Started,,6.427071,37.46499,9.72998,0,9.72998,0
Subject #250,3.760,Audio,Right,,,,Right,,,6.639516,38.70395,9.72998,0,9.72998,0
Subject #250,3.874,Audio,Right,,,,Right,,,6.870183,40.04916,9.72998,0,9.72998,0
Subject #250,3.987,Audio,Right,,,,Right,,,7.098307,41.37954,9.72998,0,9.72998,0
Subject #250,4.098,Audio,Right,,,,Right,,,7.324042,42.696,9.72998,0,9.72998,0
Subject #250,4.212,Audio,Right,,,,Right,,,7.55613,44.0495,9.72998,0,9.72998,0
