SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;MainTaskXPos;MainTaskZPos;SecondaryTask;SecondaryTaskInfo;EventInfo;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #252;0.012;Heat;None;;;;None;;;0.01975804;0.09841265;9.72998;0;9.72998;0
Subject #252;0.114;Audio;None;;;;None;;;0.08185589;0.4605589;9.72998;0;9.72998;0
Subject #252;0.215;Audio;None;;;;None;;;0.148982;0.8520293;9.72998;0;9.72998;0
Subject #252;0.324;Audio;None;;;;None;;;0.2318895;1.335534;9.72998;0;9.72998;0
Subject #252;0.429;Audio;None;;;;None;;;0.3243097;1.874517;9.72998;0;9.72998;0
Subject #252;0.535;Audio;None;;;;None;;;0.4285992;2.482719;9.72998;0;9.72998;0
Subject #252;0.642;Audio;None;;;;None;;;0.5449573;3.161304;9.72998;0;9.72998;0
Subject #252;0.743;Audio;None;;;;None;;;0.6667818;3.871768;9.72998;0;9.72998;0
Subject #252;0.851;Audio;None;;;;None;;;0.8073963;4.691814;9.72998;0;9.72998;0
Subject #252;0.958;Audio;None;;;;None;;;0.9573106;5.566094;9.72998;0;9.72998;0
Subject #252;1.061;Audio;None;;;;None;;;1.114766;6.484354;9.72998;0;9.72998;0
Subject #252;1.164;Audio;None;;;;None;;;1.281734;7.458084;9.72998;0;9.72998;0
Subject #252;1.267;Audio;None;;;;None;;;1.460113;8.498368;9.72998;0;9.72998;0
Subject #252;1.372;Audio;None;;;;None;;;1.652733;9.621698;9.72998;0;9.72998;0
Subject #252;1.477;Audio;None;;;;None;;;1.856095;10.80768;9.72998;0;9.72998;0
Subject #252;1.581;Audio;None;;;;None;;;2.065526;12.02905;9.72998;0;9.72998;0
Subject #252;1.693;Audio;None;;;;None;;;2.292883;13.35497;9.72998;0;9.72998;0
Subject #252;1.796;Audio;None;;;;None;;;2.501941;14.57417;9.72998;0;9.72998;0
Subject #252;1.903;Audio;None;;;;None;;;2.719369;15.84217;9.72998;0;9.72998;0
Subject #252;2.005;Audio;None;;;;None;;;2.925806;17.04609;9.72998;0;9.72998;0
Subject #252;2.112;Audio;None;;;;None;;;3.142651;18.3107;9.72998;0;9.72998;0
Subject #252;2.213;Audio;None;;;;None;;;3.348223;19.50957;9.72998;0;9.72998;0
Subject #252;2.317;Audio;None;;;;None;;;3.557891;20.73233;9.72998;0;9.72998;0
Subject #252;2.420;Audio;None;;;;None;;;3.766731;21.95025;9.72998;0;9.72998;0
Subject #252;2.525;Audio;None;;;;None;;;3.980402;23.19635;9.72998;0;9.72998;0
Subject #252;2.628;Audio;None;;;;None;;;4.190436;24.42124;9.72998;0;9.72998;0
Subject #252;2.733;Audio;None;;;;None;;;4.402255;25.65654;9.72998;0;9.72998;0
Subject #252;2.838;Audio;None;;;;None;;;4.615336;26.8992;9.72998;0;9.72998;0
Subject #252;2.940;Audio;None;;;;None;;;4.822113;28.10509;9.72998;0;9.72998;0
Subject #252;3.046;Audio;None;;;;None;;;5.03727;29.35986;9.72998;0;9.72998;0
Subject #252;3.151;Audio;None;;;;None;;;5.251431;30.60882;9.72998;0;9.72998;0
Subject #252;3.259;Audio;None;;;;None;;;5.468857;31.87682;9.72998;0;9.72998;0
Subject #252;3.367;Audio;None;;;;None;;;5.687846;33.15393;9.72998;0;9.72998;0
Subject #252;3.469;Audio;None;;;;None;;;5.895455;34.36468;9.72998;0;9.72998;0
Subject #252;3.575;Audio;Right;Task Started;;;Right;Task Started;;6.110276;35.61749;9.72998;0;9.72998;0
Subject #252;3.679;Audio;Right;;;;Right;;;6.320985;36.84632;9.72998;0;9.72998;0
Subject #252;3.779;Audio;Right;;;;Right;;;6.52431;38.03209;9.72998;0;9.72998;0
Subject #252;3.883;Audio;Right;;;;Right;;;6.734392;39.25726;9.72998;0;9.72998;0
Subject #252;3.984;Audio;Right;;;;Right;;;6.940029;40.4565;9.72998;0;9.72998;0
Subject #252;4.086;Audio;Right;;;;Right;;;7.147785;41.6681;9.72998;0;9.72998;0
Subject #252;4.195;Audio;Right;;;;Right;;;7.367485;42.94936;9.72998;0;9.72998;0
Subject #252;4.300;Audio;Right;;;;Right;;;7.579186;44.18397;9.72998;0;9.72998;0
Subject #252;4.407;Audio;Right;;;;Right;;;7.797295;45.45596;9.72998;0;9.72998;0
Subject #252;4.512;Audio;Right;;;;Right;;;8.011355;46.70433;9.72998;0;9.72998;0
Subject #252;4.613;Audio;Right;;;;Right;;;8.215613;47.89553;9.72998;0;9.72998;0
Subject #252;4.717;Audio;Right;;;;Right;;;8.426186;49.12355;9.72998;0;9.72998;0
Subject #252;4.822;Audio;Right;;;;Right;;;8.638872;50.36391;9.72998;0;9.72998;0
Subject #252;4.926;Audio;Right;;;;Right;;;8.849311;51.59116;9.72998;0;9.72998;0
Subject #252;5.030;Audio;Right;;;;Right;;;9.061815;52.83046;9.72998;0;9.72998;0
Subject #252;5.138;Audio;Right;;;;Right;;;9.279691;54.10108;9.72998;0;9.72998;0
Subject #252;5.245;Audio;Right;;;;Right;;;9.497353;55.37045;9.72998;0;9.72998;0
Subject #252;5.347;Audio;Right;;;;Right;;;9.704632;56.57928;9.72998;0;9.72998;0
Subject #252;5.461;Audio;Right;;;;Right;;;9.93509;57.92329;9.72998;0;9.72998;0
Subject #252;5.562;Audio;Right;;;;Right;;;10.14022;59.11956;9.72998;0;9.72998;0
Subject #252;5.668;Audio;Right;;;;Right;;;10.35522;60.37341;9.72998;0;9.72998;0
Subject #252;5.770;Audio;Right;;;;Right;;;10.56161;61.57705;9.72998;0;9.72998;0
Subject #252;5.873;Audio;Right;;;;Right;;;10.77124;62.79961;9.72998;0;9.72998;0
Subject #252;5.977;Audio;Right;;;;Right;;;10.98018;64.0181;9.72998;0;9.72998;0
Subject #252;6.082;Audio;Right;;;;Right;;;11.19493;65.2705;9.72998;0;9.72998;0
Subject #252;6.185;Audio;Right;;;;Right;;;11.40337;66.48611;9.72998;0;9.72998;0
Subject #252;6.287;Audio;Right;;;;Right;;;11.61094;67.69661;9.72998;0;9.72998;0
Subject #252;6.390;Audio;Right;;;;Right;;;11.81937;68.91213;9.72998;0;9.72998;0
Subject #252;6.498;Audio;Right;;;;Right;;;12.03724;70.18275;9.72998;0;9.72998;0
Subject #252;6.603;Audio;Right;;;;Right;;;12.2514;71.43171;9.72998;0;9.72998;0
Subject #252;6.707;Audio;Right;;;;Right;;;12.46269;72.66391;9.72998;0;9.72998;0
Subject #252;6.812;Audio;Right;;;;Right;;;12.67617;73.9089;9.72998;0;9.72998;0
Subject #252;6.916;Audio;Right;;;;Right;;;12.88558;75.13013;9.72998;0;9.72998;0
Subject #252;7.021;Audio;Right;;;;Right;;;13.09903;76.37496;9.72998;0;9.72998;0
Subject #252;7.130;Audio;Right;;;;Right;;;13.32036;77.6657;9.72998;0;9.72998;0
Subject #252;7.236;Audio;Right;;;;Right;;;13.53531;78.91927;9.72998;0;9.72998;0
Subject #252;7.339;Audio;Right;;;;Right;;;13.74422;80.1376;9.72998;0;9.72998;0
Subject #252;7.444;Audio;Right;;;;Right;;;13.95531;81.36869;9.72998;0;9.72998;0
Subject #252;7.551;Audio;Right;;;;Right;;;14.17463;82.64771;9.72998;0;9.72998;0
