SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;MainTaskXPos;MainTaskZPos;SecondaryTask;SecondaryTaskInfo;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #256;0.012;Heat;None;;;;None;;-0.1;-0.6;9.72998;0;9.72998;0
Subject #256;0.136;Audio;None;;;;None;;-0.08694497;-0.5238648;9.72998;0;9.72998;0
Subject #256;0.249;Audio;None;;;;None;;-0.05506263;-0.3379314;9.72998;0;9.72998;0
Subject #256;0.354;Audio;None;;;;None;;-0.01369882;-0.0967032;9.72998;0;9.72998;0
Subject #256;0.470;Audio;None;;;;None;;0.04508624;0.2461233;9.72998;0;9.72998;0
Subject #256;0.583;Audio;None;;;;None;;0.1158497;0.6588066;9.72998;0;9.72998;0
Subject #256;0.704;Audio;None;;;;None;;0.2052508;1.180181;9.72998;0;9.72998;0
Subject #256;0.822;Audio;None;;;;None;;0.3068517;1.772704;9.72998;0;9.72998;0
Subject #256;0.936;Audio;None;;;;None;;0.4187185;2.425096;9.72998;0;9.72998;0
Subject #256;1.036;Audio;None;;;;None;;0.5281743;3.063427;9.72998;0;9.72998;0
Subject #256;1.150;Audio;None;;;;None;;0.6642222;3.856841;9.72998;0;9.72998;0
Subject #256;1.264;Audio;None;;;;None;;0.8133004;4.726244;9.72998;0;9.72998;0
Subject #256;1.376;Audio;None;;;;None;;0.9730675;5.657984;9.72998;0;9.72998;0
Subject #256;1.488;Audio;None;;;;None;;1.145184;6.661743;9.72998;0;9.72998;0
Subject #256;1.606;Audio;None;;;;None;;1.340985;7.803631;9.72998;0;9.72998;0
Subject #256;1.709;Audio;None;;;;None;;1.523595;8.868588;9.72998;0;9.72998;0
Subject #256;1.810;Audio;None;;;;None;;1.711462;9.964201;9.72998;0;9.72998;0
Subject #256;1.916;Audio;None;;;;None;;1.920089;11.18089;9.72998;0;9.72998;0
Subject #256;2.019;Audio;None;;;;None;;2.130777;12.40959;9.72998;0;9.72998;0
Subject #256;2.139;Audio;None;;;;None;;2.374506;13.83098;9.72998;0;9.72998;0
Subject #256;2.259;Audio;None;;;;None;;2.617755;15.24958;9.72998;0;9.72998;0
Subject #256;2.374;Audio;None;;;;None;;2.851285;16.6115;9.72998;0;9.72998;0
Subject #256;2.493;Audio;None;;;;None;;3.090725;18.00788;9.72998;0;9.72998;0
Subject #256;2.608;Audio;None;;;;None;;3.325121;19.37484;9.72998;0;9.72998;0
Subject #256;2.726;Audio;None;;;;None;;3.564957;20.77353;9.72998;0;9.72998;0
Subject #256;2.846;Audio;None;;;;None;;3.807933;22.19053;9.72998;0;9.72998;0
Subject #256;2.967;Audio;None;;;;None;;4.052069;23.6143;9.72998;0;9.72998;0
Subject #256;3.085;Audio;None;;;;None;;4.291551;25.01093;9.72998;0;9.72998;0
Subject #256;3.200;Audio;None;;;;None;;4.524101;26.36713;9.72998;0;9.72998;0
Subject #256;3.317;Audio;None;;;;None;;4.761786;27.75327;9.72998;0;9.72998;0
Subject #256;3.431;Audio;None;;;;None;;4.994055;29.10784;9.72998;0;9.72998;0
Subject #256;3.554;Audio;Right;Task Started;;;Right;Task Started;5.239618;30.53993;9.72998;0;9.72998;0
Subject #256;3.675;Audio;Right;;;;Right;;5.488377;31.99065;9.72998;0;9.72998;0
Subject #256;3.793;Audio;Right;;;;Right;;5.727824;33.38708;9.72998;0;9.72998;0
Subject #256;3.909;Audio;Right;;;;Right;;5.964134;34.76521;9.72998;0;9.72998;0
Subject #256;4.030;Audio;Right;;;;Right;;6.208449;36.19002;9.72998;0;9.72998;0
Subject #256;4.143;Audio;Right;;;;Right;;6.43866;37.53259;9.72998;0;9.72998;0
Subject #256;4.256;Audio;Right;;;;Right;;6.666934;38.86385;9.72998;0;9.72998;0
Subject #256;4.370;Audio;Right;;;;Right;;6.899412;40.21963;9.72998;0;9.72998;0
Subject #256;4.484;Audio;Right;;;;Right;;7.130252;41.56586;9.72998;0;9.72998;0
Subject #256;4.597;Audio;Right;;;;Right;;7.359115;42.90056;9.72998;0;9.72998;0
Subject #256;4.711;Audio;Right;;;;Right;;7.590106;44.24767;9.72998;0;9.72998;0
Subject #256;4.825;Audio;Right;;;;Right;;7.820987;45.59414;9.72998;0;9.72998;0
Subject #256;4.947;Audio;Right;;;;Right;;8.068061;47.03504;9.72998;0;9.72998;0
Subject #256;5.062;Audio;Right;;;;Right;;8.301713;48.39767;9.72998;0;9.72998;0
Subject #256;5.191;Audio;Right;;;;Right;;8.56271;49.91978;9.72998;0;9.72998;0
Subject #256;5.307;Audio;Right;;;;Right;;8.797898;51.29136;9.72998;0;9.72998;0
Subject #256;5.419;Audio;Right;;;;Right;;9.026263;52.62315;9.72998;0;9.72998;0
Subject #256;5.536;Audio;Right;;;;Right;;9.263105;54.00438;9.72998;0;9.72998;0
Subject #256;5.652;Audio;Right;;;;Right;;9.498848;55.3792;9.72998;0;9.72998;0
Subject #256;5.772;Audio;Right;;;;Right;;9.74126;56.79291;9.72998;0;9.72998;0
Subject #256;5.885;Audio;Right;;;;Right;;9.970376;58.12908;9.72998;0;9.72998;0
Subject #256;6.005;Audio;Right;;;;Right;;10.21401;59.54994;9.72998;0;9.72998;0
Subject #256;6.118;Audio;Right;;;;Right;;10.44453;60.89428;9.72998;0;9.72998;0
Subject #256;6.236;Audio;Right;;;;Right;;10.68051;62.27048;9.72998;0;9.72998;0
Subject #256;6.348;Audio;Right;;;;Right;;10.9101;63.60942;9.72998;0;9.72998;0
Subject #256;6.463;Audio;Right;;;;Right;;11.14394;64.97316;9.72998;0;9.72998;0
Subject #256;6.578;Audio;Right;;;;Right;;11.37659;66.32996;9.72998;0;9.72998;0
Subject #256;6.692;Audio;Right;;;;Right;;11.6089;67.68472;9.72998;0;9.72998;0
Subject #256;6.827;Audio;Right;;;;Right;;11.88043;69.26825;9.72998;0;9.72998;0
Subject #256;6.948;Audio;Right;;;;Right;;12.12753;70.70934;9.72998;0;9.72998;0
Subject #256;7.071;Audio;Right;;;;Right;;12.37584;72.15743;9.72998;0;9.72998;0
Subject #256;7.186;Audio;Right;;;;Right;;12.61007;73.52342;9.72998;0;9.72998;0
Subject #256;7.299;Audio;Right;;;;Right;;12.83776;74.85127;9.72998;0;9.72998;0
Subject #256;7.413;Audio;Right;;;;Right;;13.07063;76.20937;9.72998;0;9.72998;0
Subject #256;7.531;Audio;Right;;;;Right;;13.30803;77.59384;9.72998;0;9.72998;0
Subject #256;7.637;Audio;Right;;;;Right;;13.52436;78.85547;9.72998;0;9.72998;0
Subject #256;7.750;Audio;Right;;;;Right;;13.75364;80.1926;9.72998;0;9.72998;0
Subject #256;7.865;Audio;Right;;;;Right;;13.98663;81.55135;9.72998;0;9.72998;0
Subject #256;7.980;Audio;Right;;;;Right;;14.2191;82.90707;9.72998;0;9.72998;0
Subject #256;8.083;Audio;Right;;;;Right;;14.4283;84.1271;9.72998;0;9.72998;0
Subject #256;8.199;Audio;Right;;;;Right;;14.66457;85.50502;9.72998;0;9.72998;0
Subject #256;8.315;Audio;Right;;;;Right;;14.89819;86.86742;9.72998;0;9.72998;0
Subject #256;8.431;Audio;Right;;;;Right;;15.13466;88.24652;9.72998;0;9.72998;0
Subject #256;8.552;Audio;None;Timeout;;;None;Timeout;15.38042;89.67973;9.72998;0;9.72998;0
Subject #256;8.668;Audio;None;;;;None;;15.61619;91.05472;9.72998;0;9.72998;0
Subject #256;8.783;Audio;None;;;;None;;15.849;92.41239;9.72998;0;9.72998;0
Subject #256;8.901;Audio;None;;;;None;;16.08763;93.80406;9.72998;0;9.72998;0
Subject #256;9.019;Audio;None;;;;None;;16.32714;95.20091;9.72998;0;9.72998;0
Subject #256;9.141;Audio;None;;;;None;;16.57507;96.64676;9.72998;0;9.72998;0
Subject #256;9.256;Audio;None;;;;None;;16.80605;97.9938;9.72998;0;9.72998;0
Subject #256;9.356;Audio;None;;;;None;;17.01076;99.18765;9.72998;0;9.72998;0
Subject #256;9.467;Audio;None;;;;None;;17.23588;100.5005;9.72998;0;9.72998;0
Subject #256;9.575;Audio;None;;;;None;;17.45345;101.7694;9.72998;0;9.72998;0
Subject #256;9.682;Audio;None;;;;None;;17.67032;103.0342;9.72998;0;9.72998;0
Subject #256;9.792;Audio;None;;;;None;;17.89287;104.332;9.72998;0;9.72998;0
Subject #256;9.915;Audio;None;;;;None;;18.1431;105.7913;9.72998;0;9.72998;0
Subject #256;10.033;Audio;None;;;;None;;18.38251;107.1875;9.72998;0;9.72998;0
Subject #256;10.133;Audio;None;;;;None;;18.58525;108.3699;9.72998;0;9.72998;0
Subject #256;10.244;Audio;None;;;;None;;18.81121;109.6877;9.72998;0;9.72998;0
Subject #256;10.363;Audio;None;;;;None;;19.05214;111.0927;9.72998;0;9.72998;0
Subject #256;10.481;Audio;None;;;;None;;19.29266;112.4954;9.72998;0;9.72998;0
Subject #256;10.599;Audio;None;;;;None;;19.53083;113.8844;9.72998;0;9.72998;0
Subject #256;10.725;Audio;None;;;;None;;19.78632;115.3743;9.72998;0;9.72998;0
Subject #256;10.825;Audio;None;;;;None;;19.98997;116.562;9.72998;0;9.72998;0
Subject #256;10.945;Audio;None;;;;None;;20.23333;117.9813;9.72998;0;9.72998;0
Subject #256;11.066;Audio;None;;;;None;;20.47925;119.4154;9.72998;0;9.72998;0
Subject #256;11.190;Audio;None;;;;None;;20.72837;120.8683;9.72998;0;9.72998;0
Subject #256;11.308;Audio;None;;;;None;;20.9699;122.2768;9.72998;0;9.72998;0
Subject #256;11.425;Audio;None;;;;None;;21.20581;123.6526;9.72998;0;9.72998;0
Subject #256;11.546;Audio;None;;;;None;;21.45206;125.0887;9.72998;0;9.72998;0
Subject #256;11.648;Audio;None;;;;None;;21.65848;126.2925;9.72998;0;9.72998;0
Subject #256;11.749;Audio;None;;;;None;;21.86442;127.4936;9.72998;0;9.72998;0
Subject #256;11.871;Audio;None;;;;None;;22.11069;128.9298;9.72998;0;9.72998;0
Subject #256;11.982;Audio;None;;;;None;;22.33608;130.2442;9.72998;0;9.72998;0
Subject #256;12.102;Audio;None;;;;None;;22.57924;131.6623;9.72998;0;9.72998;0
Subject #256;12.225;Audio;None;;;;None;;22.82743;133.1097;9.72998;0;9.72998;0
Subject #256;12.327;Audio;None;;;;None;;23.03528;134.3219;9.72998;0;9.72998;0
Subject #256;12.449;Audio;None;;;;None;;23.2822;135.7618;9.72998;0;9.72998;0
Subject #256;12.570;Audio;None;;;;None;;23.52836;137.1975;9.72998;0;9.72998;0
Subject #256;12.671;Audio;None;;;;None;;23.73305;138.3912;9.72998;0;9.72998;0
Subject #256;12.776;Audio;None;;;;None;;23.94585;139.6322;9.72998;0;9.72998;0
Subject #256;12.884;Audio;None;;;;None;;24.16614;140.9169;9.72998;0;9.72998;0
Subject #256;12.987;Audio;None;;;;None;;24.37356;142.1265;9.72998;0;9.72998;0
Subject #256;13.106;Audio;None;;;;None;;24.61557;143.5379;9.72998;0;9.72998;0
