SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;MainTaskXPos;MainTaskZPos;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;SecondaryTask;SecondaryTaskInfo;HorizontalHmdRot;VerticalHmdRot
Subject #259;0,020;Heat;;;;;-0,1;-0,6;9,72998;0;;;9,72998;0
Subject #259;0,195;Audio;;;;;-0,1;-0,6;9,72998;0;;;9,72998;0
Subject #259;0,333;Audio;;;;;-0,1;-0,6;9,72998;0;;;9,72998;0
Subject #259;0,471;Audio;;;;;-0,1;-0,6;9,72998;0;;;9,72998;0
Subject #259;0,599;Audio;;;;;-0,1;-0,6;9,72998;0;;;9,72998;0
Subject #259;0,733;Audio;;;;;-0,0910059;-0,5475476;9,72998;0;;;9,72998;0
Subject #259;0,864;Audio;;;;;-0,06404343;-0,3903061;9,72998;0;;;9,72998;0
Subject #259;0,966;Audio;;;;;-0,02554356;-0,1657801;9,72998;0;;;9,72998;0
Subject #259;1,083;Audio;;;;;0,03083765;0,1630274;9,72998;0;;;9,72998;0
Subject #259;1,185;Audio;;;;;0,09112487;0,5146143;9,72998;0;;;9,72998;0
Subject #259;1,316;Audio;;;;;0,1844693;1,058986;9,72998;0;;;9,72998;0
Subject #259;1,418;Audio;;;;;0,2694338;1,554488;9,72998;0;;;9,72998;0
Subject #259;1,549;Audio;;;;;0,3946017;2,284451;9,72998;0;;;9,72998;0
Subject #259;1,649;Audio;;;;;0,5017903;2,90956;9,72998;0;;;9,72998;0
Subject #259;1,751;Audio;;;;;0,6198056;3,597809;9,72998;0;;;9,72998;0
Subject #259;1,882;Audio;;;;;0,7895151;4,587533;9,72998;0;;;9,72998;0
Subject #259;1,983;Audio;;;;;0,9310492;5,41294;9,72998;0;;;9,72998;0
Subject #259;2,115;Audio;;;;;1,132837;6,589741;9,72998;0;;;9,72998;0
Subject #259;2,216;Audio;;;;;1,298792;7,557563;9,72998;0;;;9,72998;0
Subject #259;2,349;Audio;;;;;1,533221;8,924723;9,72998;0;;;9,72998;0
Subject #259;2,482;Audio;;;;;1,784191;10,38835;9,72998;0;;;9,72998;0
Subject #259;2,582;Audio;;;;;1,986138;11,56607;9,72998;0;;;9,72998;0
Subject #259;2,682;Audio;;;;;2,189404;12,7515;9,72998;0;;;9,72998;0
Subject #259;2,818;Audio;;;;;2,464464;14,35561;9,72998;0;;;9,72998;0
Subject #259;2,948;Audio;;;;;2,728469;15,89525;9,72998;0;;;9,72998;0
Subject #259;3,049;Audio;;;;;2,934226;17,0952;9,72998;0;;;9,72998;0
Subject #259;3,182;Audio;;;;;3,202985;18,66256;9,72998;0;;;9,72998;0
Subject #259;3,315;Audio;;;;;3,472523;20,23448;9,72998;0;;;9,72998;0
Subject #259;3,416;Audio;;;;;3,67762;21,43057;9,72998;0;;;9,72998;0
Subject #259;3,548;Audio;;;;;3,946332;22,99767;9,72998;0;;;9,72998;0
Subject #259;3,688;Audio;Right;Task Started;;;4,22159;24,60293;9,72998;0;Right;Task Started;9,72998;0
Subject #259;3,817;Audio;Right;;;;4,489837;26,16731;9,72998;0;Right;;9,72998;0
Subject #259;3,918;Audio;Right;;;;4,695108;27,36442;9,72998;0;Right;;9,72998;0
Subject #259;4,048;Audio;Right;;;;4,958781;28,90213;9,72998;0;Right;;9,72998;0
Subject #259;4,182;Audio;Right;;;;5,23035;30,48589;9,72998;0;Right;;9,72998;0
Subject #259;4,315;Audio;Right;;;;5,500307;32,06024;9,72998;0;Right;;9,72998;0
Subject #259;4,448;Audio;Right;;;;5,770926;33,63845;9,72998;0;Right;;9,72998;0
Subject #259;4,582;Audio;Right;;;;6,041262;35,21502;9,72998;0;Right;;9,72998;0
Subject #259;4,717;Audio;Right;;;;6,313856;36,80475;9,72998;0;Right;;9,72998;0
Subject #259;4,849;Audio;Right;;;;6,583458;38,37703;9,72998;0;Right;;9,72998;0
Subject #259;4,982;Audio;Right;;;;6,851992;39,94308;9,72998;0;Right;;9,72998;0
Subject #259;5,116;Audio;Right;;;;7,123603;41,52708;9,72998;0;Right;;9,72998;0
Subject #259;5,248;Audio;Right;;;;7,39232;43,0942;9,72998;0;Right;;9,72998;0
Subject #259;5,381;Audio;Right;;;;7,662441;44,66951;9,72998;0;Right;;9,72998;0
Subject #259;5,515;Audio;Right;;;;7,933552;46,25058;9,72998;0;Right;;9,72998;0
Subject #259;5,649;Audio;Right;;;;8,204746;47,83215;9,72998;0;Right;;9,72998;0
Subject #259;5,782;Audio;Right;;;;8,474482;49,40521;9,72998;0;Right;;9,72998;0
Subject #259;5,915;Audio;Right;;;;8,743853;50,97615;9,72998;0;Right;;9,72998;0
Subject #259;6,048;Audio;Right;;;;9,013565;52,54907;9,72998;0;Right;;9,72998;0
Subject #259;6,150;Audio;Right;;;;9,218832;53,74616;9,72998;0;Right;;9,72998;0
Subject #259;6,278;Audio;Right;;;;9,481843;55,28;9,72998;0;Right;;9,72998;0
Subject #259;6,382;Audio;Right;;;;9,69176;56,50421;9,72998;0;Right;;9,72998;0
Subject #259;6,517;Audio;Right;;;;9,963282;58,08768;9,72998;0;Right;;9,72998;0
Subject #259;6,651;Audio;Right;;;;10,23739;59,68623;9,72998;0;Right;;9,72998;0
Subject #259;6,851;Audio;Right;;;;10,64142;62,04247;9,72998;0;Right;;9,72998;0
Subject #259;7,016;Audio;Right;;;;10,97651;63,99672;9,72998;0;Right;;9,72998;0
Subject #259;7,227;Audio;Right;;;;11,39922;66,4619;9,72998;0;Right;;9,72998;0
Subject #259;7,347;Audio;Right;;;;11,65119;67,93135;9,72998;0;Right;;9,72998;0
Subject #259;7,516;Audio;Right;;;;11,99171;69,91721;9,72998;0;Right;;9,72998;0
Subject #259;7,681;Audio;Right;;;;12,32716;71,87349;9,72998;0;Right;;9,72998;0
Subject #259;7,820;Audio;Right;;;;12,60791;73,5108;9,72998;0;Right;;9,72998;0
Subject #259;7,948;Audio;Right;;;;12,86727;75,02335;9,72998;0;Right;;9,72998;0
Subject #259;8,083;Audio;Right;;;;13,1424;76,62786;9,72998;0;Right;;9,72998;0
Subject #259;8,244;Audio;Right;;;;13,4692;78,53374;9,72998;0;Right;;9,72998;0
Subject #259;8,350;Audio;Right;;;;13,68258;79,77814;9,72998;0;Right;;9,72998;0
Subject #259;8,551;Audio;Right;;;;14,08904;82,14856;9,72998;0;Right;;9,72998;0
Subject #259;8,680;Audio;;Timeout;;;14,35176;83,68071;9,72998;0;;Timeout;9,72998;0
Subject #259;8,853;Audio;;;;;14,70102;85,71755;9,72998;0;;;9,72998;0
Subject #259;9,052;Audio;;;;;15,10465;88,07146;9,72998;0;;;9,72998;0
Subject #259;9,181;Audio;;;;;15,36695;89,60114;9,72998;0;;;9,72998;0
Subject #259;9,313;Audio;;;;;15,63771;91,18021;9,72998;0;;;9,72998;0
