SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskZPos;PlayerXPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #294;0,013;Heat;;;;;;;0,03;-0,1100139;8,999991;0;9,729981;0
Subject #294;0,149;Audio;;Task Spawned;;;-7,209023;82,03374;0,03;-0,1100139;8,999991;0;9,729981;0
Subject #294;0,252;Audio;;;;;-7,209023;82,03374;0,03;-0,1100139;8,999991;0;9,729981;0
Subject #294;0,356;Audio;;;;;-7,209023;82,03374;0,03;-0,1100139;8,999991;0;9,729981;0
Subject #294;0,463;Audio;;;;;-7,209023;82,03374;0,03;-0,1100139;8,999991;0;9,729981;0
Subject #294;0,570;Audio;;;;;-7,209023;82,03374;0,03164254;-0,09964334;8,999991;0;9,729981;0
Subject #294;0,671;Audio;;;;;-7,209023;82,03374;0,04189523;-0,03491039;8,999991;0;9,729981;0
Subject #294;0,778;Audio;;;;;-7,209023;82,03374;0,06316135;0,09935877;8,999991;0;9,729981;0
Subject #294;0,881;Audio;;;;;-7,209023;82,03374;0,0936975;0,2921566;8,999991;0;9,729981;0
Subject #294;0,990;Audio;;;;;-7,209023;82,03374;0,1364911;0,5623454;8,999992;5,852408;9,733806;5,851931
Subject #294;1,090;Audio;;;;;-7,209023;82,03374;0,1852789;0,8703795;8,999991;17,93665;9,767268;17,93515
Subject #294;1,207;Audio;;;;;-7,209023;82,03374;0,2485408;1,2698;8,999992;31,89834;9,85981;31,89543
Subject #294;1,312;Audio;;;;;-7,209023;82,03374;0,3074683;1,641854;8,999995;44,59442;10,02507;44,58983
Subject #294;1,420;Audio;;;;;-7,209023;82,03374;0,3626653;1,990354;8,999995;57,47113;10,35737;57,46384
Subject #294;1,537;Audio;;;;;-7,209023;82,03374;0,4145955;2,318228;8,999995;62,15899;10,56278;62,15019
Subject #294;1,644;Audio;;;;;-7,209023;82,03374;0,4652525;2,638064;8,999995;62,15899;10,56278;62,15019
Subject #294;1,768;Audio;;;;;-7,209023;82,03374;0,5299509;3,046555;8,999995;62,15899;10,56278;62,15019
Subject #294;1,879;Audio;;;;;-7,209023;82,03374;0,5955276;3,46059;8,999995;56,33181;10,31659;56,32481
Subject #294;1,993;Audio;;;;;-7,209023;82,03374;0,6919335;4,069273;8,999998;42,58994;9,991496;42,58566
Subject #294;2,103;Audio;;;;;-7,209023;82,03374;0,8177925;4,863916;8,999999;29,38257;9,837742;29,37995
Subject #294;2,221;Audio;;;;;-7,209023;82,03374;0,9852214;5,921021;9,000001;15,20356;9,756464;15,2023
Subject #294;2,322;Audio;;;;;-7,209023;82,03374;1,148932;6,95465;9,000001;3,639113;9,731465;3,638818
Subject #294;2,443;Audio;;;;;-7,209023;82,03374;1,35978;8,285889;9,000002;0,8689819;9,730076;0,8689113
Subject #294;2,559;Audio;;;;;-7,209023;82,03374;1,576021;9,65118;9,000002;0,8689819;9,730076;0,8689113
Subject #294;2,678;Audio;;;;;-7,209023;82,03374;1,798454;11,05557;9,000002;0,8689819;9,730076;0,8689113
Subject #294;2,793;Audio;;;;;-7,209023;82,03374;2,014171;12,41755;9,000002;0,8689819;9,730076;0,8689113
Subject #294;2,896;Audio;;;;;-7,209023;82,03374;2,208562;13,64489;9,000002;0,8689819;9,730076;0,8689113
Subject #294;3,016;Audio;;;;;-7,209023;82,03374;2,434516;15,07151;9,000002;2,494701;9,730684;2,494499
Subject #294;3,133;Audio;;;;;-7,209023;82,03374;2,65091;16,43776;9,000003;15,1452;9,756257;15,14394
Subject #294;3,239;Audio;;;;;-7,209023;82,03374;2,838445;17,62181;9,000004;25,39592;9,80807;25,39371
Subject #294;3,356;Audio;;;;;-7,209023;82,03374;3,035754;18,86757;9,000002;26,23399;9,813809;26,23169
Subject #294;3,472;Audio;;;;;-7,209023;82,03374;3,231193;20,10153;9,000002;26,23399;9,813809;26,23169
Subject #294;3,575;Audio;;;;;-7,209023;82,03374;3,404061;21,19297;9,000001;26,82682;9,818023;26,82446
Subject #294;3,692;Audio;;;;;-7,209023;82,03374;3,592475;22,38257;9,000005;38,13783;9,928092;38,13417
