SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #304;0,011;Heat;;;;;;;;0,04404715;0,001899719;-0,0213236;8,999991;0;9,729981;0
Subject #304;0,114;Audio;;;;;;;;0,06359477;0,001899719;0,1020953;8,999991;0;9,729981;0
Subject #304;0,236;Audio;;Task Spawned;;;32,33211;0,001899719;75,98848;0,1031551;0,001899719;0,3518695;8,999991;0;9,729981;0
Subject #304;0,337;Audio;;;;;32,33211;0,001899719;75,98848;0,1467696;0,001899719;0,6272412;8,999991;0;9,729981;0
Subject #304;0,441;Audio;;;;;32,33211;0,001899719;75,98848;0,2015057;0,001899719;0,9728313;8,999991;0;9,729981;0
Subject #304;0,560;Audio;;;;;32,33211;0,001899719;75,98848;0,2768726;0,001899719;1,44868;8,999991;0;9,729981;0
Subject #304;0,671;Audio;;;;;32,33211;0,001899719;75,98848;0,3587857;0,001899719;1,965859;8,999991;0;9,729981;0
Subject #304;0,774;Audio;;;;;32,33211;0,001899719;75,98848;0,4459929;0,001899719;2,516464;8,999991;0;9,729981;0
Subject #304;0,881;Audio;;;;;32,33211;0,001899719;75,98848;0,5460485;0,001899719;3,148191;8,999991;0;9,729981;0
Subject #304;0,999;Audio;;;;;32,33211;0,001899719;75,98848;0,6704866;0,001899719;3,933863;8,999991;0;9,729981;0
Subject #304;1,112;Audio;;;;;32,33211;0,001899719;75,98848;0,7990634;0,001899719;4,745666;8,999991;0;9,729981;0
Subject #304;1,226;Audio;;;;;32,33211;0,001899719;75,98848;0,9427322;0,001899719;5,652756;8,999991;0;9,729981;0
Subject #304;1,331;Audio;;;;;32,33211;0,001899719;75,98848;1,085375;0,001899719;6,553368;8,999991;0;9,729981;0
Subject #304;1,452;Audio;;;;;32,33211;0,001899719;75,98848;1,262103;0,001899719;7,669187;8,999991;0;9,729981;0
Subject #304;1,555;Audio;;;;;32,33211;0,001899719;75,98848;1,425902;0,001899719;8,703375;8,999991;0;9,729981;0
Subject #304;1,656;Audio;;;;;32,33211;0,001899719;75,98848;1,593578;0,001899719;9,762044;8,999991;0;9,729981;0
