SubjectName,Timestamp,FeedbackType,ActionType,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #84,0.003,Heat,No Action,no event,0,0,193.2185,61.96957
Subject #84,0.104,Audio,No Action,no event,0,0,184.3965,54.81148
Subject #84,0.216,Audio,No Action,no event,0,0,185.4556,17.42756
Subject #84,0.323,Audio,No Action,no event,0,0,180.9322,3.371164
Subject #84,0.439,Audio,No Action,no event,0,0,178.6268,0.2967916
Subject #84,0.549,Audio,No Action,no event,0,0,180.3314,0.9165611
Subject #84,0.665,Audio,No Action,no event,0,0,180.1655,14.46404
Subject #84,0.775,Audio,No Action,no event,0,0,183.2644,27.9564
Subject #84,0.882,Audio,No Action,no event,0,0,184.9411,37.32697
Subject #84,0.982,Audio,No Action,no event,0,0,184.1126,33.01702
Subject #84,1.088,Audio,No Action,no event,0,0,181.2127,34.03061
Subject #84,1.198,Audio,No Action,no event,0,0,179.2379,35.27842
Subject #84,1.302,Audio,No Action,no event,0,0,178.6395,35.80117
Subject #84,1.405,Audio,No Action,no event,0,0,176.5031,34.34457
Subject #84,1.511,Audio,No Action,no event,0,0,174.5172,38.28986
Subject #84,1.613,Audio,No Action,no event,0,0,175.4964,40.0206
Subject #84,1.722,Audio,No Action,no event,0,0,174.9686,40.61808
Subject #84,1.822,Audio,No Action,no event,0,0,177.5425,38.95542
Subject #84,1.923,Audio,No Action,no event,0,0,177.9835,37.43413
Subject #84,2.024,Audio,No Action,no event,0,0,178.2691,33.73431
Subject #84,2.124,Audio,No Action,no event,0,0,177.5904,32.15399
Subject #84,2.225,Audio,No Action,no event,0,0,176.9398,31.15367
Subject #84,2.325,Audio,No Action,no event,0,0,176.0662,31.17789
Subject #84,2.426,Audio,No Action,no event,0,0,174.315,31.47736
Subject #84,2.526,Audio,No Action,no event,0,0,171.5679,32.31921
Subject #84,2.627,Audio,No Action,no event,0,0,168.4908,33.44217
Subject #84,2.727,Audio,No Action,no event,0,0,165.29,32.44483
Subject #84,2.828,Audio,No Action,no event,0,0,162.1479,30.42746
Subject #84,2.928,Audio,No Action,no event,0,0,159.1388,29.51629
Subject #84,3.030,Audio,No Action,no event,0,0,155.6837,28.36082
Subject #84,3.141,Audio,No Action,no event,0,0,151.6788,26.34806
Subject #84,3.241,Audio,No Action,no event,0,0,149.9526,23.21067
Subject #84,3.345,Audio,No Action,no event,0,0,148.4513,18.38315
Subject #84,3.454,Audio,No Action,no event,0,0,148.3173,13.98763
Subject #84,3.554,Audio,No Action,no event,0,0,149.4448,12.10514
Subject #84,3.654,Audio,No Action,no event,0,0,150.6668,11.23637
Subject #84,3.755,Audio,No Action,no event,0,0,152.4903,10.09969
Subject #84,3.862,Audio,No Action,no event,0,0,154.5917,6.121408
Subject #84,3.967,Audio,No Action,no event,0,0,157.7612,355.2849
Subject #84,4.068,Audio,No Action,no event,0,0,160.753,348.55
Subject #84,4.172,Audio,No Action,no event,0,0,163.4178,346.6451
Subject #84,4.280,Audio,No Action,no event,0,0,168.4874,348.98
Subject #84,4.381,Audio,No Action,no event,0,0,171.2245,349.4272
Subject #84,4.482,Audio,No Action,no event,0,0,173.1592,352.8505
Subject #84,4.582,Audio,No Action,no event,0,0,177.4448,9.633361
Subject #84,4.682,Audio,No Action,no event,0,0,180.3314,12.04903
Subject #84,4.783,Audio,No Action,no event,0,0,178.6357,21.14755
Subject #84,4.883,Audio,No Action,no event,0,0,171.8729,21.82611
Subject #84,4.990,Audio,No Action,no event,0,0,172.5127,23.82633
Subject #84,5.097,Audio,No Action,no event,0,0,169.7677,25.73843
Subject #84,5.207,Audio,No Action,no event,0,0,165.6354,24.68898
Subject #84,5.308,Audio,No Action,no event,0,0,163.7867,24.69056
Subject #84,5.414,Audio,No Action,no event,0,0,162.1942,24.58836
Subject #84,5.520,Audio,No Action,no event,0,0,159.5774,24.88188
Subject #84,5.632,Audio,No Action,no event,0,0,159.8913,26.27479
Subject #84,5.732,Audio,No Action,no event,0,0,160.8538,30.38059
Subject #84,5.833,Audio,No Action,no event,0,0,163.1074,36.5182
Subject #84,5.936,Audio,No Action,no event,0,0,161.4942,41.93323
Subject #84,6.045,Audio,No Action,no event,0,0,164.5732,47.16194
Subject #84,6.150,Audio,No Action,no event,0,0,167.7905,48.74184
Subject #84,6.257,Audio,No Action,no event,0,0,169.6319,48.66209
Subject #84,6.362,Audio,No Action,no event,0,0,171.3045,48.99997
Subject #84,6.473,Audio,No Action,no event,0,0,181.5187,51.12766
Subject #84,6.573,Audio,No Action,no event,0,0,198.9192,52.74198
Subject #84,6.682,Audio,No Action,no event,0,0,212.6373,54.89845
Subject #84,6.782,Audio,No Action,no event,0,0,218.8905,56.89829
Subject #84,6.887,Audio,No Action,no event,0,0,223.9111,57.06815
Subject #84,6.995,Audio,No Action,no event,0,0,224.8027,54.78148
Subject #84,7.095,Audio,No Action,no event,0,0,221.7565,53.22245
Subject #84,7.196,Audio,No Action,no event,0,0,218.2368,51.13035
Subject #84,7.296,Audio,No Action,no event,0,0,211.4025,50.7046
Subject #84,7.403,Audio,No Action,no event,0,0,203.8295,49.59665
Subject #84,7.510,Audio,No Action,no event,0,0,196.983,47.59224
Subject #84,7.610,Audio,No Action,no event,0,0,191.9225,45.37366
Subject #84,7.717,Audio,No Action,no event,0,0,187.1496,43.42706
Subject #84,7.817,Audio,No Action,no event,0,0,182.8359,41.72987
Subject #84,7.923,Audio,No Action,no event,0,0,180.5042,40.37033
Subject #84,8.023,Audio,No Action,no event,0,0,178.8845,40.04705
Subject #84,8.126,Audio,No Action,no event,0,0,176.7308,39.4802
Subject #84,8.235,Audio,No Action,no event,0,0,175.1633,36.5849
Subject #84,8.337,Audio,No Action,no event,0,0,172.2917,33.59591
Subject #84,8.448,Audio,No Action,no event,0,0,169.4843,31.84251
Subject #84,8.549,Audio,No Action,no event,0,0,167.6756,30.56864
Subject #84,8.661,Audio,No Action,no event,0,0,166.1492,29.6907
Subject #84,8.772,Audio,No Action,no event,0,0,165.1727,29.59927
Subject #84,8.873,Audio,No Action,no event,0,0,164.6646,29.40513
Subject #84,8.974,Audio,No Action,no event,0,0,164.7451,29.53733
Subject #84,9.084,Audio,No Action,no event,0,0,165.3003,29.75225
Subject #84,9.185,Audio,No Action,no event,0,0,166.8207,29.63948
Subject #84,9.286,Audio,No Action,no event,0,0,168.9449,30.28816
Subject #84,9.387,Audio,No Action,no event,0,0,171.2249,32.19084
Subject #84,9.487,Audio,No Action,no event,0,0,172.4765,34.07999
Subject #84,9.588,Audio,No Action,no event,0,0,173.1576,36.85513
Subject #84,9.694,Audio,No Action,no event,0,0,173.4352,44.12792
Subject #84,9.807,Audio,No Action,no event,0,0,166.5602,58.56693
Subject #84,9.918,Audio,No Action,no event,0,0,171.7051,78.02875
Subject #84,10.021,Audio,No Action,no event,0,0,282.7005,81.77519
Subject #84,10.135,Audio,No Action,no event,0,0,300.5204,67.47422
Subject #84,10.240,Audio,No Action,no event,0,0,307.488,61.72752
Subject #84,10.348,Audio,No Action,no event,0,0,314.2183,63.00415
Subject #84,10.449,Audio,No Action,no event,0,0,352.8589,67.91447
Subject #84,10.559,Audio,No Action,no event,0,0,55.34079,64.88638
Subject #84,10.662,Audio,No Action,no event,0,0,70.75791,59.11599
Subject #84,10.777,Audio,No Action,no event,0,0,63.52795,63.7636
Subject #84,10.892,Audio,No Action,no event,0,0,54.77021,67.76189
Subject #84,10.998,Audio,No Action,no event,0,0,62.99192,66.56226
Subject #84,11.101,Audio,No Action,no event,0,0,57.08133,66.83304
Subject #84,11.202,Audio,No Action,no event,0,0,57.4475,68.85932
Subject #84,11.307,Audio,No Action,no event,0,0,58.13792,70.99487
Subject #84,11.409,Audio,No Action,no event,0,0,56.52296,72.06268
Subject #84,11.509,Audio,No Action,no event,0,0,48.83185,77.60316
Subject #84,11.609,Audio,No Action,no event,0,0,18.7335,82.7143
Subject #84,11.721,Audio,No Action,no event,0,0,310.0741,83.26178
Subject #84,11.821,Audio,No Action,no event,0,0,310.059,81.01189
Subject #84,11.923,Audio,No Action,no event,0,0,304.8998,82.25159
Subject #84,12.030,Audio,No Action,no event,0,0,294.954,86.73512
Subject #84,12.134,Audio,No Action,no event,0,0,281.1843,87.99435
