SubjectName,Timestamp,FeedbackType,MainTask,SecondaryTask,EventInfo,HorizontalPlayerRot,VerticalPlayerRot,HorizontalHmdRot,VerticalHmdRot
Subject #94,0.011,Heat,None,None,no event,0,0,0,0
Subject #94,0.119,Vibration,Middle,,Action Started,0,0,0,0
Subject #94,0.224,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.329,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.429,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.535,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.646,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.746,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.850,Vibration,Middle,,no event,0,0,0,0
Subject #94,0.951,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.061,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.168,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.278,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.381,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.492,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.603,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.710,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.825,Vibration,Middle,,no event,0,0,0,0
Subject #94,1.935,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.035,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.135,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.245,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.351,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.451,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.560,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.694,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.808,Vibration,Middle,,no event,0,0,0,0
Subject #94,2.914,Vibration,Middle,,no event,0,0,0,0
Subject #94,3.017,Vibration,Middle,,no event,0,0,0,0
Subject #94,3.123,Vibration,Middle,,no event,0,0,0,0
Subject #94,3.229,Vibration,Middle,,no event,0,0,0,0
Subject #94,3.334,Vibration,Middle,,no event,0,0,0,0
Subject #94,3.438,Vibration,Middle,,no event,0,0,0,0
Subject #94,3.540,Vibration,Middle,,no event,354.5174,0,354.5174,0
Subject #94,3.641,Vibration,Middle,,no event,342.424,0,342.424,0
Subject #94,3.744,Vibration,Middle,,no event,329.9813,0,329.9813,0
Subject #94,3.854,Vibration,Middle,,no event,318.9422,0,318.9422,0
Subject #94,3.957,Vibration,Middle,,no event,317.9214,0,317.9214,0
Subject #94,4.067,Vibration,Middle,,no event,326.1667,0,326.1667,0
Subject #94,4.168,Vibration,Middle,,no event,338.3031,0,338.3031,0
Subject #94,4.272,Vibration,Middle,,no event,350.756,0,350.756,0
Subject #94,4.377,Vibration,Middle,,no event,3.308668,0,3.308668,0
Subject #94,4.479,Vibration,Middle,,no event,15.4812,0,15.4812,0
Subject #94,4.591,Vibration,Middle,,no event,29.01369,0,29.01369,0
Subject #94,4.694,Vibration,Middle,,no event,41.34484,0,41.34484,0
Subject #94,4.809,Vibration,Middle,,no event,55.19484,0,55.19484,0
Subject #94,4.919,Vibration,Middle,,no event,68.42024,0,68.42024,0
Subject #94,5.020,Vibration,None,None,Action TimeOut,80.47149,0,80.47149,0
Subject #94,5.133,Vibration,None,None,no event,94.05011,0,94.05011,0
Subject #94,5.236,Vibration,None,None,no event,106.4118,0,106.4118,0
Subject #94,5.341,Vibration,None,None,no event,119.0432,0,119.0432,0
Subject #94,5.441,Vibration,None,None,no event,131.0498,0,131.0498,0
Subject #94,5.543,Vibration,None,None,no event,143.2943,0,143.2943,0
Subject #94,5.651,Vibration,None,None,no event,156.2615,0,156.2615,0
Subject #94,5.758,Vibration,None,None,no event,169.0805,0,169.0805,0
Subject #94,5.867,Vibration,None,None,no event,181.1333,0,181.1333,0
Subject #94,5.980,Vibration,None,None,no event,182.8333,0,182.8333,0
Subject #94,6.082,Vibration,None,None,no event,173.8627,0,173.8627,0
Subject #94,6.200,Vibration,None,None,no event,159.7414,0,159.7414,0
Subject #94,6.333,Vibration,None,None,no event,143.7073,0,143.7073,0
Subject #94,6.433,Vibration,None,None,no event,131.6864,0,131.6864,0
Subject #94,6.541,Vibration,None,None,no event,118.7734,0,118.7734,0
Subject #94,6.651,Vibration,None,None,no event,105.5428,0,105.5428,0
Subject #94,6.759,Vibration,None,None,no event,94.30946,0,94.30946,0
Subject #94,6.866,Vibration,None,None,no event,93.00748,0,93.00748,0
Subject #94,6.974,Vibration,None,None,no event,91.87093,0,91.87093,0
Subject #94,7.075,Vibration,None,None,no event,81.62161,0,81.62161,0
Subject #94,7.180,Vibration,None,None,no event,73.23599,0,73.23599,0
Subject #94,7.286,Vibration,None,None,no event,72.71824,0,72.71824,0
Subject #94,7.394,Vibration,None,None,no event,63.16523,0,63.16523,0
Subject #94,7.495,Vibration,None,None,no event,51.01945,0,51.01945,0
Subject #94,7.603,Vibration,None,None,no event,40.87881,0,40.87881,0
Subject #94,7.712,Vibration,None,None,no event,40.32298,0,40.32298,0
Subject #94,7.826,Vibration,None,None,no event,41.64264,0,41.64264,0
Subject #94,7.939,Vibration,None,None,no event,53.38099,0,53.38099,0
Subject #94,8.052,Vibration,None,None,no event,67.0043,0,67.0043,0
Subject #94,8.162,Vibration,Middle,,Action Started,80.28948,0,80.28948,0
Subject #94,8.268,Vibration,Middle,,no event,92.95129,0,92.95129,0
Subject #94,8.370,Vibration,Middle,,no event,105.2097,0,105.2097,0
Subject #94,8.475,Vibration,Middle,,no event,114.8839,0,114.8839,0
Subject #94,8.587,Vibration,Middle,,no event,121.6328,0,121.6328,0
Subject #94,8.687,Vibration,Middle,,no event,133.6523,0,133.6523,0
Subject #94,8.789,Vibration,Middle,,no event,142.1612,0,142.1612,0
Subject #94,8.891,Vibration,Middle,,no event,142.4302,0,142.4302,0
Subject #94,8.994,Vibration,Middle,,no event,142.4302,0,142.4302,0
Subject #94,9.108,Vibration,Middle,,no event,142.4302,0,142.4302,0
Subject #94,9.220,Vibration,Middle,,no event,146.806,0,146.806,0
Subject #94,9.322,Vibration,Middle,,no event,158.9612,0,158.9612,0
Subject #94,9.432,Vibration,Middle,,no event,164.0185,0,164.0185,0
Subject #94,9.539,Vibration,Middle,,no event,164.0185,0,164.0185,0
Subject #94,9.644,Vibration,Middle,,no event,162.9993,0,162.9993,0
Subject #94,9.745,Vibration,Middle,,no event,153.0398,0,153.0398,0
Subject #94,9.854,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,9.967,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.073,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.186,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.287,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.388,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.500,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.605,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.719,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.821,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,10.936,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.041,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.142,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.246,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.351,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.453,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.572,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.676,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.780,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.886,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,11.986,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.103,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.207,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.309,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.415,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.518,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.620,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.734,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.848,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,12.949,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,13.061,Vibration,Middle,,no event,151.4731,0,151.4731,0
Subject #94,13.174,Vibration,None,None,Action TimeOut,151.4731,0,151.4731,0
Subject #94,13.286,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,13.400,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,13.503,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,13.617,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,13.731,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,13.835,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,13.935,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.037,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.150,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.263,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.363,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.467,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.578,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.689,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.805,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,14.906,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.017,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.131,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.243,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.355,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.459,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.576,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.680,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.791,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,15.896,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.000,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.104,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.213,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.319,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.421,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.534,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.642,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.751,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.856,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,16.958,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,17.059,Vibration,None,None,no event,151.4731,0,151.4731,0
Subject #94,17.177,Vibration,Right,,Action Started,151.4731,0,151.4731,0
Subject #94,17.291,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,17.394,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,17.494,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,17.596,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,17.699,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,17.803,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,17.912,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.019,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.132,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.234,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.340,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.446,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.549,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.656,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.762,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.881,Vibration,Right,,no event,151.4731,0,151.4731,0
Subject #94,18.985,Vibration,Right,,no event,155.5831,0,155.5831,0
Subject #94,19.100,Vibration,Right,,no event,169.1308,0,169.1308,0
Subject #94,19.213,Vibration,Right,,no event,182.7256,0,182.7256,0
Subject #94,19.327,Vibration,Right,,no event,196.4169,0,196.4169,0
Subject #94,19.429,Vibration,Right,,no event,208.3482,0,208.3482,0
Subject #94,19.537,Vibration,Right,,no event,211.9133,0,211.9133,0
Subject #94,19.646,Vibration,Right,,no event,210.8652,0,210.8652,0
Subject #94,19.748,Vibration,Right,,no event,200.7325,0,200.7325,0
Subject #94,19.857,Vibration,Right,,no event,193.9623,0,193.9623,0
Subject #94,19.962,Vibration,Right,,no event,194.9534,0,194.9534,0
Subject #94,20.065,Vibration,Right,,no event,205.0956,0,205.0956,0
Subject #94,20.171,Vibration,Right,,no event,213.5831,0,213.5831,0
Subject #94,20.279,Vibration,Right,,no event,212.5611,0,212.5611,0
Subject #94,20.383,Vibration,Right,,no event,201.9635,0,201.9635,0
Subject #94,20.488,Vibration,Right,,no event,189.3788,0,189.3788,0
Subject #94,20.598,Vibration,Right,,no event,179.1154,0,179.1154,0
Subject #94,20.712,Vibration,Right,,no event,179.9096,0,179.9096,0
Subject #94,20.813,Vibration,Right,,no event,190.3611,0,190.3611,0
Subject #94,20.914,Vibration,Right,,no event,192.916,0,192.916,0
Subject #94,21.025,Vibration,Right,,no event,181.4458,0,181.4458,0
Subject #94,21.139,Vibration,Right,,no event,167.8474,0,167.8474,0
Subject #94,21.247,Vibration,Right,,no event,154.8327,0,154.8327,0
Subject #94,21.348,Vibration,Right,,no event,142.6577,0,142.6577,0
Subject #94,21.448,Vibration,None,None,Action Success,130.6211,0,130.6211,0
Subject #94,21.556,Vibration,None,None,no event,117.743,0,117.743,0
Subject #94,21.672,Vibration,None,None,no event,103.8234,0,103.8234,0
Subject #94,21.788,Vibration,None,None,no event,89.85011,0,89.85011,0
Subject #94,21.889,Vibration,None,None,no event,77.76823,0,77.76823,0
Subject #94,22.003,Vibration,None,None,no event,64.04837,0,64.04837,0
Subject #94,22.106,Vibration,None,None,no event,58.91822,0,58.91822,0
Subject #94,22.212,Vibration,None,None,no event,53.00748,0,53.00748,0
Subject #94,22.313,Vibration,None,None,no event,40.89168,0,40.89168,0
Subject #94,22.422,Vibration,None,None,no event,32.22303,0,32.22303,0
Subject #94,22.526,Vibration,None,None,no event,32.10285,0,32.10285,0
Subject #94,22.639,Vibration,None,None,no event,32.10285,0,32.10285,0
Subject #94,22.754,Vibration,None,None,no event,32.10285,0,32.10285,0
Subject #94,22.861,Vibration,None,None,no event,29.12192,0,29.12192,0
Subject #94,22.962,Vibration,None,None,no event,17.48209,0,17.48209,0
Subject #94,23.079,Vibration,None,None,no event,4.761123,0,4.761123,0
Subject #94,23.189,Vibration,None,None,no event,5.309506,0,5.309506,0
Subject #94,23.292,Vibration,None,None,no event,16.37965,0,16.37965,0
Subject #94,23.403,Vibration,None,None,no event,29.59509,0,29.59509,0
Subject #94,23.512,Vibration,None,None,no event,42.7453,0,42.7453,0
Subject #94,23.613,Vibration,None,None,no event,54.85514,0,54.85514,0
Subject #94,23.722,Vibration,None,None,no event,67.94865,0,67.94865,0
Subject #94,23.827,Vibration,None,None,no event,80.63388,0,80.63388,0
Subject #94,23.931,Vibration,None,None,no event,91.28012,0,91.28012,0
Subject #94,24.032,Vibration,None,None,no event,91.28012,0,91.28012,0
