SubjectId;Timestamp;EventType;EventStatus;EventInfo;EventId
13;0.023;Ring;visible;(7.2, 0.0, 110.9);-93540
13;0.048;Ring;visible;(17.0, 0.0, 110.0);-93588
13;0.082;Ring;visible;(9.6, 0.0, 111.9);-93638
13;0.149;Ring;visible;(28.3, 0.0, 110.3);-93686
13;0.183;Ring;visible;(17.3, 0.0, 112.7);-93734
13;0.217;Ring;visible;(26.3, 0.0, 112.0);-93822
13;0.250;Ring;visible;(14.2, 0.0, 114.5);-93870
13;0.316;Ring;visible;(19.7, 0.0, 115.0);-93918
13;0.350;Ring;visible;(8.6, 0.0, 117.5);-93966
13;0.383;Ring;visible;(29.3, 0.0, 114.9);-94014
13;0.450;Ring;visible;(27.7, 0.0, 116.5);-94102
13;0.484;Ring;visible;(14.2, 0.0, 119.3);-94150
13;0.517;Ring;visible;(20.0, 0.0, 119.0);-94198
13;0.584;Ring;visible;(30.1, 0.0, 118.8);-94246
13;0.619;Ring;visible;(23.9, 0.0, 120.5);-94334
13;0.652;Ring;visible;(27.5, 0.0, 120.6);-94382
13;0.686;Ring;visible;(15.7, 0.0, 123.1);-94430
13;0.752;Ring;visible;(8.0, 0.0, 125.7);-94478
13;0.786;Ring;visible;(25.8, 0.0, 123.6);-94526
13;0.821;Ring;visible;(13.3, 0.0, 126.2);-94614
13;1.544;POV;visible;Left;-94702
13;1.710;POV;visible;Left;-94840
13;1.823;POV;visible;Right;-94976
13;1.956;POV;visible;Right;-95074
13;2.553;POV;visible;Middle;-95208
13;2.695;POV;visible;Middle;-95340
