SubjectName;Timestamp;FeedbackType;MainTask;MainTaskInfo;SecondaryTask;SecondaryTaskInfo;MainTaskXPos;MainTaskYPos;MainTaskZPos;PlayerXPos;PlayerYPos;PlayerZPos;HorizontalPlayerRot;VerticalPlayerRot;HorizontalHmdRot;VerticalHmdRot
Subject #425;0,003;Heat;;;;;;;;19,59788;16,3887;52,81152;349,053;345,4873;292,3606;338,7058
Subject #425;0,108;Vibration;;;;;;;;19,23205;16,88736;54,7029;349,053;345,4873;284,5479;338,4447
Subject #425;0,222;Vibration;;;;;;;;18,90151;17,33793;56,41184;349,053;345,4873;281,7906;343,6367
Subject #425;0,332;Vibration;;;;;;;;18,6251;17,71471;57,84093;349,053;345,4873;275,6277;347,1707
Subject #425;0,444;Vibration;;;;;;;;18,38818;18,03765;59,06578;349,053;345,4873;270,0104;348,8355
Subject #425;0,555;Vibration;;;;;;;;18,20004;18,29411;60,03851;349,053;345,4873;268,9479;352,4862
Subject #425;0,667;Vibration;;;;;;;;18,05593;18,49055;60,78359;349,053;345,4873;268,449;355,2672
Subject #425;0,779;Vibration;;;;;;;;17,95787;18,62421;61,29055;349,053;345,4873;263,665;2,452872
Subject #425;0,890;Vibration;;;;;;;;17,90652;18,6942;61,55602;349,053;345,4873;261,2994;5,741352
Subject #425;1,002;Vibration;;;;;;;;17,89793;18,70591;61,60043;349,053;345,4873;262,4933;6,654859
