SubjectId;Timestamp;RoundType;EventType;EventStatus;EventInfo;EventId
12;41.065;Heat;Custom;CameraContainerPos;(-0.275, -1.087, -0.293);-1118
12;0.031;Training_Ring_Only;Ring;visible;(-34.922, 3.150, 179.335);-724852
12;0.062;Training_Complete;Ring;visible;(-37.420, 3.150, 217.089);-726186
12;0.100;Audio;Ring;visible;(-41.778, 3.150, 254.482);-727606
12;0.204;Heat;Ring;visible;(-62.112, 3.150, 289.294);-730616
12;0.321;Smell;Ring;visible;(-79.365, 3.150, 324.924);-733072
12;0.349;Vibration;Ring;visible;(-123.445, 3.150, 342.195);-740150
12;3.408;Vibration;Ring;visible;(-180.903, 3.150, 391.148);-740840
12;3.626;Vibration;Ring;success;;-740150
12;6.642;Vibration;Ring;success;;-740840
12;7.050;Vibration;Ring;visible;(-257.723, 3.150, 440.485);-741728
12;9.262;Vibration;Ring;visible;(-308.592, 3.150, 461.424);-742258
12;10.306;Vibration;Ring;success;;-741728
12;11.361;Vibration;Ring;visible;(-356.403, 3.150, 482.176);-742888
12;12.495;Vibration;Ring;success;;-742258
12;14.595;Vibration;Ring;success;;-742888
12;14.957;Vibration;Ring;visible;(-436.320, 3.150, 524.619);-743890
12;17.022;Vibration;POV;visible;Right;-744380
12;18.214;Vibration;Ring;success;;-743890
12;19.242;Vibration;POV;success;;-744380
12;19.268;Vibration;Ring;visible;(-523.283, 3.150, 586.624);-745072
12;22.525;Vibration;Ring;success;;-745072
12;22.711;Vibration;Ring;visible;(-593.439, 3.150, 635.146);-745868
12;25.944;Vibration;Ring;success;;-745868
12;26.217;Vibration;Ring;visible;(-663.959, 3.150, 687.069);-746770
12;28.276;Vibration;POV;visible;Middle;-747244
12;29.473;Vibration;Ring;success;;-746770
12;30.680;Vibration;POV;success;;-747244
12;30.708;Vibration;Ring;visible;(-748.846, 3.150, 760.615);-747966
12;32.941;Vibration;Ring;visible;(-792.494, 3.150, 795.190);-748504
12;33.986;Vibration;Ring;success;;-747966
12;35.220;Vibration;Ring;visible;(-841.585, 3.150, 823.349);-749106
12;36.198;Vibration;Ring;success;;-748504
12;37.277;Vibration;POV;visible;Right;-749650
12;38.477;Vibration;Ring;success;;-749106
12;39.370;Vibration;POV;success;;-749650
12;39.397;Vibration;Ring;visible;(-927.198, 3.150, 881.922);-750322
12;41.922;Vibration;Ring;visible;(-982.578, 3.151, 912.966);-750874
12;42.632;Vibration;Ring;success;;-750322
12;44.671;Vibration;Ring;visible;(-1045.561, 3.151, 939.274);-751534
12;45.178;Vibration;Ring;success;;-750874
12;47.262;Vibration;Ring;visible;(-1102.536, 3.151, 970.775);-752240
12;47.903;Vibration;Ring;success;;-751534
12;49.383;Vibration;Ring;visible;(-1145.718, 3.151, 1000.510);-752852
12;50.517;Vibration;Ring;success;;-752240
12;52.600;Vibration;Ring;visible;(-1211.334, 3.151, 1047.381);-753658
12;52.618;Vibration;Ring;success;;-752852
12;54.658;Vibration;POV;visible;Middle;-754174
12;55.856;Vibration;Ring;success;;-753658
12;56.710;Vibration;Ring;visible;(-1290.761, 3.151, 1112.000);-754844
12;58.090;Vibration;POV;success;;-754174
12;59.861;Vibration;Ring;visible;(-1358.950, 3.151, 1151.081);-755716
12;59.945;Vibration;Ring;success;;-754844
12;62.519;Vibration;Ring;visible;(-1413.732, 3.151, 1188.682);-756408
12;63.095;Vibration;Ring;success;;-755716
12;65.776;Vibration;Ring;success;;-756408
12;65.984;Vibration;Ring;visible;(-1492.850, 3.151, 1224.237);-757368
12;68.440;Vibration;Ring;visible;(-1547.784, 3.151, 1250.311);-757976
12;69.238;Vibration;Ring;success;;-757368
12;71.545;Vibration;Ring;visible;(-1618.109, 3.151, 1282.437);-758754
12;71.674;Vibration;Ring;success;;-757976
12;73.604;Vibration;POV;visible;Left;-759364
12;74.779;Vibration;Ring;success;;-758754
12;75.427;Vibration;POV;success;;-759364
12;75.655;Vibration;Ring;visible;(-1713.417, 3.152, 1320.702);-760168
12;78.890;Vibration;Ring;success;;-760168
12;78.917;Vibration;Ring;visible;(-1790.828, 3.152, 1346.067);-760964
12;82.151;Vibration;Ring;success;;-760964
