SubjectId;Timestamp;RoundType;EventType;EventStatus;EventInfo;EventId
32;267.658;Heat;Custom;CameraContainerPos;(0.070, -1.211, -0.158);-1118
32;0.037;Training_Ring_Only;Ring;visible;(-59.736, 3.150, 154.892);-214664
32;3.450;Training_Ring_Only;Ring;success;;-214664
32;3.488;Training_Ring_Only;Ring;visible;(-117.578, 3.150, 213.738);-214928
32;6.637;Training_Ring_Only;Ring;visible;(-175.180, 3.150, 266.304);-215078
32;6.744;Training_Ring_Only;Ring;success;;-214928
32;9.871;Training_Ring_Only;Ring;success;;-215078
32;9.991;Training_Ring_Only;Ring;visible;(-228.239, 3.150, 331.728);-215332
32;13.093;Training_Ring_Only;Ring;visible;(-271.548, 3.150, 395.110);-215452
32;13.244;Training_Ring_Only;Ring;success;;-215332
32;16.019;Training_Ring_Only;Ring;visible;(-326.937, 3.150, 443.041);-215644
32;16.328;Training_Ring_Only;Ring;success;;-215452
32;18.880;Training_Ring_Only;Ring;visible;(-373.028, 3.150, 497.643);-215838
32;19.276;Training_Ring_Only;Ring;success;;-215644
32;22.136;Training_Ring_Only;Ring;success;;-215838
32;22.275;Training_Ring_Only;Ring;visible;(-420.221, 3.150, 568.265);-216030
32;25.532;Training_Ring_Only;Ring;success;;-216030
32;25.783;Training_Ring_Only;Ring;visible;(-463.544, 3.150, 644.012);-216222
32;29.062;Training_Ring_Only;Ring;success;;-216222
32;29.763;Training_Ring_Only;Ring;visible;(-509.808, 3.150, 729.408);-216414
32;33.016;Training_Ring_Only;Ring;success;;-216414
32;33.715;Training_Ring_Only;Ring;visible;(-563.975, 3.150, 811.850);-216608
32;36.970;Training_Ring_Only;Ring;success;;-216608
32;36.978;Training_Ring_Only;Ring;visible;(-619.128, 3.150, 871.199);-216728
32;40.232;Training_Ring_Only;Ring;success;;-216728
32;40.305;Training_Ring_Only;Ring;visible;(-671.110, 3.150, 936.536);-216878
32;43.560;Training_Ring_Only;Ring;success;;-216878
32;44.212;Training_Ring_Only;Ring;visible;(-720.690, 3.150, 1019.982);-217070
32;46.920;Training_Ring_Only;Ring;visible;(-766.956, 3.150, 1068.771);-217190
32;47.470;Training_Ring_Only;Ring;success;;-217070
32;50.173;Training_Ring_Only;Ring;success;;-217190
32;50.446;Training_Ring_Only;Ring;visible;(-838.905, 3.150, 1118.244);-217456
32;53.217;Training_Ring_Only;Ring;visible;(-894.573, 3.150, 1157.938);-217576
32;53.702;Training_Ring_Only;Ring;success;;-217456
32;55.605;Training_Ring_Only;Ring;visible;(-945.582, 3.150, 1189.349);-217798
32;56.450;Training_Ring_Only;Ring;success;;-217576
32;58.757;Training_Ring_Only;Ring;visible;(-1021.070, 3.150, 1212.506);-217990
32;58.863;Training_Ring_Only;Ring;success;;-217798
32;61.014;Training_Ring_Only;Ring;visible;(-1074.453, 3.150, 1227.106);-218110
32;62.017;Training_Ring_Only;Ring;success;;-217990
32;64.247;Training_Ring_Only;Ring;success;;-218110
