SubjectId;Timestamp;RoundType;EventType;EventStatus;EventInfo;EventId
1;390.103;Heat;Custom;CameraContainerPos;(-0.051, -1.133, -0.481);-1118
1;0.031;Training_Ring_Only;Ring;visible;(49.602, 3.150, 177.314);-1155924
1;2.750;Training_Ring_Only;Ring;visible;(53.039, 3.150, 244.978);-1156608
1;3.304;Training_Ring_Only;Ring;success;;-1155924
1;6.013;Training_Ring_Only;Ring;visible;(78.997, 3.150, 321.052);-1157466
1;6.029;Training_Ring_Only;Ring;success;;-1156608
1;8.245;Training_Ring_Only;Ring;visible;(89.046, 3.150, 375.986);-1158052
1;9.268;Training_Ring_Only;Ring;success;;-1157466
1;11.306;Training_Ring_Only;Ring;visible;(82.405, 3.150, 450.292);-1158848
1;11.547;Training_Ring_Only;Ring;success;;-1158052
1;14.077;Training_Ring_Only;Ring;visible;(77.059, 3.150, 518.559);-1159612
1;14.608;Training_Ring_Only;Ring;success;;-1158848
1;16.780;Training_Ring_Only;Ring;visible;(64.342, 3.150, 583.466);-1160276
1;17.355;Training_Ring_Only;Ring;success;;-1159612
1;19.370;Training_Ring_Only;Ring;visible;(48.226, 3.150, 646.141);-1161050
1;20.014;Training_Ring_Only;Ring;success;;-1160276
1;22.363;Training_Ring_Only;Ring;visible;(23.562, 3.150, 715.604);-1161932
1;22.670;Training_Ring_Only;Ring;success;;-1161050
1;25.621;Training_Ring_Only;Ring;success;;-1161932
1;26.117;Training_Ring_Only;Ring;visible;(-11.076, 3.150, 802.189);-1163056
1;29.373;Training_Ring_Only;Ring;success;;-1163056
1;29.760;Training_Ring_Only;Ring;visible;(-30.893, 3.150, 890.608);-1164142
1;32.933;Training_Ring_Only;Ring;visible;(-72.518, 3.150, 957.244);-1164888
1;33.038;Training_Ring_Only;Ring;success;;-1164142
1;35.031;Training_Ring_Only;Ring;visible;(-122.403, 3.150, 980.664);-1165468
1;36.255;Training_Ring_Only;Ring;success;;-1164888
1;38.963;Training_Ring_Only;Ring;visible;(-174.183, 3.150, 1052.539);-1166450
1;42.287;Training_Ring_Only;Ring;success;;-1166450
