SubjectId;Timestamp;RoundType;EventType;EventStatus;EventInfo;EventId
2;69.091;Heat;Custom;CameraContainerPos;(-0.111, -1.125, -0.436);-1118
2;0.031;Training_Ring_Only;Ring;visible;(-4.013, 3.150, 185.135);-397098
2;2.772;Training_Ring_Only;Ring;visible;(-22.221, 3.150, 250.553);-397656
2;3.280;Training_Ring_Only;Ring;success;;-397098
2;5.296;Training_Ring_Only;Ring;visible;(-45.939, 3.150, 309.449);-398328
2;6.007;Training_Ring_Only;Ring;success;;-397656
2;8.553;Training_Ring_Only;Ring;success;;-398328
2;9.295;Training_Ring_Only;Ring;visible;(-86.914, 3.150, 400.182);-399458
2;11.529;Training_Ring_Only;Ring;visible;(-103.118, 3.150, 453.789);-400050
2;12.529;Training_Ring_Only;Ring;success;;-399458
2;14.786;Training_Ring_Only;Ring;success;;-400050
2;15.059;Training_Ring_Only;Ring;visible;(-132.940, 3.150, 536.565);-400970
2;17.785;Training_Ring_Only;Ring;visible;(-168.466, 3.150, 594.836);-401736
2;18.316;Training_Ring_Only;Ring;success;;-400970
2;21.042;Training_Ring_Only;Ring;success;;-401736
2;21.828;Training_Ring_Only;Ring;visible;(-221.397, 3.150, 680.126);-402918
2;25.063;Training_Ring_Only;Ring;success;;-402918
2;25.312;Training_Ring_Only;Ring;visible;(-274.960, 3.150, 748.995);-403876
2;27.839;Training_Ring_Only;Ring;visible;(-322.567, 3.150, 791.871);-404420
2;28.548;Training_Ring_Only;Ring;success;;-403876
2;30.563;Training_Ring_Only;Ring;visible;(-371.634, 3.150, 837.668);-405096
2;31.094;Training_Ring_Only;Ring;success;;-404420
2;33.798;Training_Ring_Only;Ring;success;;-405096
2;34.562;Training_Ring_Only;Ring;visible;(-456.241, 3.150, 890.626);-406124
2;37.378;Training_Ring_Only;Ring;visible;(-514.528, 3.150, 931.034);-406802
2;37.796;Training_Ring_Only;Ring;success;;-406124
2;40.634;Training_Ring_Only;Ring;success;;-406802
2;41.286;Training_Ring_Only;Ring;visible;(-599.829, 3.150, 977.404);-407834
2;43.879;Training_Ring_Only;Ring;visible;(-662.533, 3.150, 995.646);-408430
2;44.520;Training_Ring_Only;Ring;success;;-407834
2;46.872;Training_Ring_Only;Ring;visible;(-736.294, 3.150, 1005.158);-409130
2;47.135;Training_Ring_Only;Ring;success;;-408430
2;50.128;Training_Ring_Only;Ring;success;;-409130
2;50.311;Training_Ring_Only;Ring;visible;(-821.692, 3.150, 1006.971);-409994
2;52.702;Training_Ring_Only;Ring;visible;(-881.365, 3.150, 1004.199);-410502
2;53.546;Training_Ring_Only;Ring;success;;-409994
2;54.846;Training_Ring_Only;Ring;visible;(-934.844, 3.150, 1002.117);-411116
2;55.936;Training_Ring_Only;Ring;success;;-410502
2;57.259;Training_Ring_Only;Ring;visible;(-994.876, 3.150, 994.937);-411786
2;58.080;Training_Ring_Only;Ring;success;;-411116
2;60.494;Training_Ring_Only;Ring;success;;-411786
2;62.352;Training_Complete;Ring;visible;(-1156.918, 3.150, 1003.683);-431088
2;65.586;Training_Complete;Ring;success;;-431088
2;66.284;Training_Complete;Ring;visible;(-1254.860, 3.150, 1009.694);-431950
2;69.413;Training_Complete;Ring;visible;(-1332.583, 3.149, 1004.123);-432698
2;69.518;Training_Complete;Ring;success;;-431950
2;72.646;Training_Complete;Ring;success;;-432698
2;73.030;Training_Complete;Ring;visible;(-1421.879, 3.149, 986.586);-433592
2;76.310;Training_Complete;Ring;success;;-433592
2;76.380;Training_Complete;POV;visible;Right;-434344
2;77.140;Training_Complete;Ring;visible;(-1513.968, 3.149, 942.346);-434650
2;78.085;Training_Complete;POV;success;;-434344
2;80.409;Training_Complete;Ring;success;;-434650
2;80.503;Training_Complete;Ring;visible;(-1582.233, 3.149, 894.528);-435618
2;83.738;Training_Complete;Ring;success;;-435618
2;84.100;Training_Complete;Ring;visible;(-1654.542, 3.149, 841.188);-436502
2;86.804;Training_Complete;Ring;visible;(-1708.113, 3.149, 799.926);-437076
2;87.335;Training_Complete;Ring;success;;-436502
2;90.038;Training_Complete;Ring;success;;-437076
2;90.624;Training_Complete;Ring;visible;(-1777.376, 3.149, 734.004);-438008
